board_event_id,meeting_date,meeting_year,meeting_kind,meeting_date_source,resolution_number,event_type,role,firm_id,firm_name,firm_name_raw,person_id,person_name,person_name_raw,seat_holder_type,entity_name_raw,represents_id,replaces_id,replaces_name_raw,board_decision_date,term_years,term_end_year,adoption,doc_node_key,doc_type,doc_url,doc_sha256,excerpt
BE59b237ae6005-5-0,,,ordinaire,filing_date,5,renewal,president_conseil,Fe6da0bf38f,UBCI LEASING,UBCI LEASING,P51f91688ab,Laurent Romanet,Laurent Romanet,person,,,,,,,2012,,ubci-leasing-2009,resolutions_ag,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/resolutions/resol_agohc_UBCI_LEASING_290610.pdf,0a6cd9ba6ae67645b1eb839f984efa3bed310c9129e0a1152187b2889faa191d,L’assemblée Générale Ordinaire ratifie la décision du Conseil d’Administration de renouveler le mandat de Mr Laurent Romanet administrateur et Président du Conseil pour une période de trois années et ce jusqu’à l’Assemblée Générale statuant sur l’exercice 2012
BE09cb3e3b996e-5-0,,,ordinaire,filing_date,5,renewal,commissaire_aux_comptes,Fd09f7228a5,HANNIBAL LEASE,Hannibal Lease,,,,,,,,,,,2011,adopted_unanimously,hannibal-lease-2008,resolutions_ag,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/resolutions/resol_agohc_Hannibal_Lease_210509.pdf,2e0afd1bda36460c9469bcd077b4f5cbc719909286d065a8effaf0d9f6c1c76d,"L’Assemblée Générale Ordinaire décide de renouveler le mandat du cabinet Conseil Management Révision Audit « CMR Audit» en tant que co-commissaire aux comptes de la société pour un mandat de trois exercices qui s’achève à l’issue de la tenue de l’Assemblée Générale des actionnaires statuant sur les comptes de l’exercice 2011. Cette résolution mise aux voix, a été adoptée à l’unanimité."
BE644b78ff0ff4-5-0,,,ordinaire,filing_date,5,termination,administrateur,Fe6da0bf38f,UBCI LEASING,UBCI LEASING,Pca7887a356,Mohamed Louati,Mohamed LOUATI,person,,,P372b23c78d,Thameur DERBEL,2008-04-11,,2010,,ubci-leasing-2007,resolutions_ag,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/resolutions/resol_agohc_UBCI_LEASING_230508.pdf,41d02892fefd1922503c6aa9e42a78cd3a3cc617525b069d061b2c52e1da8a50,"L’Assemblée Générale Ordinaire ratifie la désignation communiquée au Conseil d’Administration du 11 avril 2008 de Monsieur Mohamed LOUATI en qualité d’Administrateur en remplacement de Monsieur Thameur DERBEL, démissionnaire, et ce pour une durée de trois ans qui prendra fin à l’Assemblée Générale Ordinaire statuant sur l’exercice 2010."
BE20f7e0f6d72c-5-0,,,ordinaire,filing_date,5,renewal,commissaire_aux_comptes,F5f1900b223,INTERNATIONALE OBLIGATAIRE SICAV,INTERNATIONALE OBLIGATAIRE SICAV,,,,,,,,,,,2010,adopted_unanimously,internationale-obligataire-sicav-2007,resolutions_ag,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/resolutions/resol_agohc_inter_oblig_sicav.pdf,b6cd7ba7fa201a0a54fed96d7f24e34688cd794e5cfbac170dd8da3e388c207f,": L’Assemblée Générale Ordinaire prend information du renouvellement du mandat du commissaire aux comptes, la société ORGA Audit pour une période de trois ans qui prendra fin avec l’exercice statuant sur les comptes de l’exercice 2010. Cette résolution mise aux voix est adoptée à l’unanimité"
BE361d58a3b665-5-0,,,,filing_date,5,appointment,administrateur,Fa3d18e5eb7,MAILLE CLUB,MAILLE CLUB,Pdf9ab112d7,Moncef Abdelmoula,Moncef Abdelmoula,person,,,,,,,,adopted_unanimously,maille-club-2006,resolutions_ag,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/resolutions/resol_agohc_mailleclub_0906.pdf,fa66c04b9b98efc6d0c4c7c9ac0a9369c42a4c569a64cec8c4a14012931afc8d,"L’ Assemblée Générale constatant que le mandat des administrateurs est venu à expiration à l’occasion de la clôture de l’exercice 2005, nomme de nouveau les mêmes administrateurs, Monsieur Moncef Abdelmoula, Madame Radhia Abdelmoula, Monsieur Mehdi Abdelmouda et Madame Olfa Sellami, pour les années 2006, 2007 et 2008. Leur mandat viendra à expiration avec la tenue de l’assemblée générale ordinaire"
BE361d58a3b665-5-1,,,,filing_date,5,appointment,administrateur,Fa3d18e5eb7,MAILLE CLUB,MAILLE CLUB,P9c24824816,Radhia Abdelmoula,Radhia Abdelmoula,person,,,,,,,,adopted_unanimously,maille-club-2006,resolutions_ag,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/resolutions/resol_agohc_mailleclub_0906.pdf,fa66c04b9b98efc6d0c4c7c9ac0a9369c42a4c569a64cec8c4a14012931afc8d,"L’ Assemblée Générale constatant que le mandat des administrateurs est venu à expiration à l’occasion de la clôture de l’exercice 2005, nomme de nouveau les mêmes administrateurs, Monsieur Moncef Abdelmoula, Madame Radhia Abdelmoula, Monsieur Mehdi Abdelmouda et Madame Olfa Sellami, pour les années 2006, 2007 et 2008. Leur mandat viendra à expiration avec la tenue de l’assemblée générale ordinaire"
BE361d58a3b665-5-2,,,,filing_date,5,appointment,administrateur,Fa3d18e5eb7,MAILLE CLUB,MAILLE CLUB,P82009a19a8,Mehdi Abdelmouda,Mehdi Abdelmouda,person,,,,,,,,adopted_unanimously,maille-club-2006,resolutions_ag,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/resolutions/resol_agohc_mailleclub_0906.pdf,fa66c04b9b98efc6d0c4c7c9ac0a9369c42a4c569a64cec8c4a14012931afc8d,"L’ Assemblée Générale constatant que le mandat des administrateurs est venu à expiration à l’occasion de la clôture de l’exercice 2005, nomme de nouveau les mêmes administrateurs, Monsieur Moncef Abdelmoula, Madame Radhia Abdelmoula, Monsieur Mehdi Abdelmouda et Madame Olfa Sellami, pour les années 2006, 2007 et 2008. Leur mandat viendra à expiration avec la tenue de l’assemblée générale ordinaire"
BE361d58a3b665-5-3,,,,filing_date,5,appointment,administrateur,Fa3d18e5eb7,MAILLE CLUB,MAILLE CLUB,P5b46f05fd7,Olfa Sellami,Olfa Sellami,person,,,,,,,,adopted_unanimously,maille-club-2006,resolutions_ag,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/resolutions/resol_agohc_mailleclub_0906.pdf,fa66c04b9b98efc6d0c4c7c9ac0a9369c42a4c569a64cec8c4a14012931afc8d,"L’ Assemblée Générale constatant que le mandat des administrateurs est venu à expiration à l’occasion de la clôture de l’exercice 2005, nomme de nouveau les mêmes administrateurs, Monsieur Moncef Abdelmoula, Madame Radhia Abdelmoula, Monsieur Mehdi Abdelmouda et Madame Olfa Sellami, pour les années 2006, 2007 et 2008. Leur mandat viendra à expiration avec la tenue de l’assemblée générale ordinaire"
BE59b237ae6005-6-0,,,ordinaire,filing_date,6,renewal,commissaire_aux_comptes,Fe6da0bf38f,UBCI LEASING,UBCI LEASING,,,,,,,,,,,2012,,ubci-leasing-2009,resolutions_ag,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/resolutions/resol_agohc_UBCI_LEASING_290610.pdf,0a6cd9ba6ae67645b1eb839f984efa3bed310c9129e0a1152187b2889faa191d,"Après avoir pris acte de l’expiration du mandat du commissaire aux comptes ECC Mazars, l’Assemblée Générale Ordinaire ratifie la décision du Conseil d’Administration de renouveler le mandat du commissaire aux comptes pour une durée de trois ans qui prendra fin à l’Assemblée Générale Ordinaire statuant sur les comptes de l’exercice 2012."
BEfc0f3bde5aae-6-0,,,ordinaire,filing_date,6,cooptation_ratified,administrateur,F231c2da790,SITEX,SITEX,P42ba526fa1,Francis COUSIN,Francis COUSIN,person,,,,,,,,adopted_unanimously,sitex-2006,resolutions_ag,https://www.cmf.tn/sites/default/files/pdfs/emetteurs/informations/resolutions/resol_agohc_sitex_0606.pdf,4e873f1291be16e0c10518f52598a9444a1c9e7b6a9124883c8ace99a7f1d713,"L’ Assemblée Générale Annuelle ratifie la cooptation de Monsieur Francis COUSIN, de nationalité française, demeurant en France, 45081 Orléans Cedex 2, en qualité d’Administrateur, et ce, pour la durée restant à courir du mandat de Monsieur Jean-Pierre BON, Administrateur démissionnaire, soit jusqu’au jour de la réunion de l’Assemblée Générale Annuelle devant délibérer sur les comptes de l’exercice"
