coding_id,stratum,block_uid,collection,year,issue,pub_date,rubric,domain,folio_page,source_url,n_events_extracted,events_correct,events_wrong,events_missed,block_relational,coder,notes
G0001,2008|annonces-legales|SRL,annonces-legales/fr/2008/004:2008T00034SRLB2,annonces-legales,2008,004,2008-01-11,SRLB2,corporate,221,https://jort.tn/view/annonces-legales/fr/2008/004,4,4,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0002,2008|annonces-legales|SAN,annonces-legales/fr/2008/004:2008T00092SANB2,annonces-legales,2008,004,2008-01-11,SANB2,corporate,215,https://jort.tn/view/annonces-legales/fr/2008/004,0,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),legal-form transformation; no person named
G0003,2008|annonces-legales|SRL,annonces-legales/fr/2008/006:2008G00240SRLB1,annonces-legales,2008,006,2008-01-18,SRLB1,corporate,290,https://jort.tn/view/annonces-legales/fr/2008/006,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0004,2008|annonces-legales|SRL,annonces-legales/fr/2008/007:2008G00257SRLB1,annonces-legales,2008,007,2008-01-22,SRLB1,corporate,348,https://jort.tn/view/annonces-legales/fr/2008/007,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0005,2008|annonces-legales|SRL,annonces-legales/fr/2008/007:2008T00218SRLB2,annonces-legales,2008,007,2008-01-22,SRLB2,corporate,360,https://jort.tn/view/annonces-legales/fr/2008/007,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0006,2008|annonces-legales|APS,annonces-legales/fr/2008/008:2008G00350APSF1,annonces-legales,2008,008,2008-01-25,APSF1,association,455,https://jort.tn/view/annonces-legales/fr/2008/008,3,3,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0007,2008|annonces-legales|SRL,annonces-legales/fr/2008/008:2008S00140SRLB1,annonces-legales,2008,008,2008-01-25,SRLB1,corporate,402,https://jort.tn/view/annonces-legales/fr/2008/008,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0008,2008|annonces-legales|SRL,annonces-legales/fr/2008/011:2008G00502SRLB2,annonces-legales,2008,011,2008-02-05,SRLB2,corporate,635,https://jort.tn/view/annonces-legales/fr/2008/011,0,,,,,,
G0009,2008|annonces-legales|SRL,annonces-legales/fr/2008/011:2008G00516SRLB2,annonces-legales,2008,011,2008-02-05,SRLB2,corporate,636,https://jort.tn/view/annonces-legales/fr/2008/011,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0010,2008|annonces-legales|SRL,annonces-legales/fr/2008/013:2008S00321SRLB1,annonces-legales,2008,013,2008-02-12,SRLB1,corporate,737,https://jort.tn/view/annonces-legales/fr/2008/013,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0011,2008|annonces-legales|SRL,annonces-legales/fr/2008/015:2008S00413SRLB2,annonces-legales,2008,015,2008-02-19,SRLB2,corporate,888,https://jort.tn/view/annonces-legales/fr/2008/015,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0012,2008|annonces-legales|SOD,annonces-legales/fr/2008/015:2008X00301SODB2,annonces-legales,2008,015,2008-02-19,SODB2,corporate,897,https://jort.tn/view/annonces-legales/fr/2008/015,0,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),GDA registration; no officer named
G0013,2008|annonces-legales|SRL,annonces-legales/fr/2008/016:2008T00867SRLB2,annonces-legales,2008,016,2008-02-22,SRLB2,corporate,951,https://jort.tn/view/annonces-legales/fr/2008/016,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0014,2008|annonces-legales|SAN,annonces-legales/fr/2008/018:2008G01030SANB2,annonces-legales,2008,018,2008-02-29,SANB2,corporate,1074,https://jort.tn/view/annonces-legales/fr/2008/018,2,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0015,2008|annonces-legales|SRL,annonces-legales/fr/2008/020:2008N00182SRLB2,annonces-legales,2008,020,2008-03-07,SRLB2,corporate,1218,https://jort.tn/view/annonces-legales/fr/2008/020,3,3,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0016,2008|annonces-legales|SRL,annonces-legales/fr/2008/023:2008G01354SRLB1,annonces-legales,2008,023,2008-03-18,SRLB1,corporate,1414,https://jort.tn/view/annonces-legales/fr/2008/023,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0017,2008|annonces-legales|SRL,annonces-legales/fr/2008/023:2008G01373SRLB2,annonces-legales,2008,023,2008-03-18,SRLB2,corporate,1437,https://jort.tn/view/annonces-legales/fr/2008/023,3,2,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0018,2008|annonces-legales|SRL,annonces-legales/fr/2008/026:2008A00259SRLB1,annonces-legales,2008,026,2008-03-28,SRLB1,corporate,1542,https://jort.tn/view/annonces-legales/fr/2008/026,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0019,2008|annonces-legales|SRL,annonces-legales/fr/2008/032:2008X00762SRLB1,annonces-legales,2008,032,2008-04-18,SRLB1,corporate,1984,https://jort.tn/view/annonces-legales/fr/2008/032,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
G0020,2008|annonces-legales|SAN,annonces-legales/fr/2008/033:2008G01963SANB2,annonces-legales,2008,033,2008-04-22,SANB2,corporate,2072,https://jort.tn/view/annonces-legales/fr/2008/033,1,0,0,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0021,2008|annonces-legales|SRL,annonces-legales/fr/2008/034:2008G02031SRLB1,annonces-legales,2008,034,2008-04-25,SRLB1,corporate,2122,https://jort.tn/view/annonces-legales/fr/2008/034,2,0,1,0,no,claude-opus-5 (self-audit; see LIMITATIONS),
G0022,2008|annonces-legales|SRL,annonces-legales/fr/2008/034:2008R01256SRLB1,annonces-legales,2008,034,2008-04-25,SRLB1,corporate,2119,https://jort.tn/view/annonces-legales/fr/2008/034,2,1,0,0,yes,claude-opus-5 (self-audit; see LIMITATIONS),
