coding_id,block_uid,event_id,event_type,person_mention,org_mention,role_canonical,event_date,event_date_source,pattern_id,evidence_quote,verdict,correct_event_type,correct_role,coder_note
G0001,annonces-legales/fr/2008/004:2008T00034SRLB2,EV_3c263fd57fcb0c9b4076,shares_transferred,Abdelkader Bouaicha,AQUILARIA II de pêche dans le matricule fiscal et de 000/M/N/,,2004-05-02,act,corp.shares,"Suivant procès-verbal du 2 mai 2004, enregistré à la recette des finances El Haouaria le 12 juin 2004 quittance n° M 003846 enregistrement n° 04800372 Monsieur Abdelkader Bouaicha, Monsieur Mahmoud Ch",correct,,,
G0001,annonces-legales/fr/2008/004:2008T00034SRLB2,EV_bd01dd389735768aedf4,shares_transferred,Mahmoud Chaouch Korkad,AQUILARIA II de pêche dans le matricule fiscal et de 000/M/N/,,2004-05-02,act,corp.shares,"Suivant procès-verbal du 2 mai 2004, enregistré à la recette des finances El Haouaria le 12 juin 2004 quittance n° M 003846 enregistrement n° 04800372 Monsieur Abdelkader Bouaicha, Monsieur Mahmoud Ch",correct,,,
G0001,annonces-legales/fr/2008/004:2008T00034SRLB2,EV_ed119f5cb6a7b17da047,shares_transferred,Hédi ZGUIDER,AQUILARIA II de pêche dans le matricule fiscal et de 000/M/N/,,2004-05-02,act,corp.shares,"Suivant procès-verbal du 2 mai 2004, enregistré à la recette des finances El Haouaria le 12 juin 2004 quittance n° M 003846 enregistrement n° 04800372 Monsieur Abdelkader Bouaicha, Monsieur Mahmoud Ch",correct,,,
G0001,annonces-legales/fr/2008/004:2008T00034SRLB2,EV_d355ac1e65d992d7a2ba,shares_transferred,Salah Ben Braham,AQUILARIA II de pêche dans le matricule fiscal et de 000/M/N/,,2004-05-02,act,corp.shares,"Suivant procès-verbal du 2 mai 2004, enregistré à la recette des finances El Haouaria le 12 juin 2004 quittance n° M 003846 enregistrement n° 04800372 Monsieur Abdelkader Bouaicha, Monsieur Mahmoud Ch",correct,,,
G0003,annonces-legales/fr/2008/006:2008G00240SRLB1,EV_db5509efc16d0600cddc,constituted,,BUSINESS &,,2007-12-14,act,corp.constituted,Constitution d'une SARL,correct,,,
G0003,annonces-legales/fr/2008/006:2008G00240SRLB1,EV_fd4456bded94611c741d,appointed,Neila Alya Benzina,BUSINESS &,gerant,2007-12-14,act,corp.role_colon,Gérant : Madame Neila Alya Benzina épouse Latrous pour une période indéterminée.,correct,,,
G0004,annonces-legales/fr/2008/007:2008G00257SRLB1,EV_9dfc35ac77271a40ef74,constituted,,Ste la Cible de Promotion Immobilière,,2008-01-03,act,corp.constituted,Constitution d'une S.A.R.L,correct,,,
G0004,annonces-legales/fr/2008/007:2008G00257SRLB1,EV_ebc1c63d1722cf1cc1a0,appointed,Lotfi Khemakhem,Ste la Cible de Promotion Immobilière,gerant,2008-01-03,act,corp.appointed,Gérance : Monsieur Lotfi Khemakhem est nommé gérant de la société avec tous les pouvoirs énoncés aux statuts.,correct,,,
G0005,annonces-legales/fr/2008/007:2008T00218SRLB2,EV_b2fcadf7c1f366908a96,capital_increased,,Global Phoning,,2007-12-02,act,corp.cap_up,# Augmentation de capital,correct,,,
G0006,annonces-legales/fr/2008/008:2008G00350APSF1,EV_cdc5b4abd5003f3fc75b,appointed,Mohamed Ben Sédrine,Association de Réinsertion des Prisonniers Libérés,association_president,2008-01-25,pub_only,assoc.bureau,- Président : Mohamed Ben Sédrine,correct,,,
G0006,annonces-legales/fr/2008/008:2008G00350APSF1,EV_09df21c1ecdbfd5abdf2,appointed,Nooman Ben Ameur,Association de Réinsertion des Prisonniers Libérés,secretaire_general,2008-01-25,pub_only,assoc.bureau,- Secrétaire général : Nooman Ben Ameur,correct,,,
G0006,annonces-legales/fr/2008/008:2008G00350APSF1,EV_e8de8f61d4cefa7de855,appointed,Lotfi Hedhili,Association de Réinsertion des Prisonniers Libérés,treasurer,2008-01-25,pub_only,assoc.bureau,- Trésorerie : Lotfi Hedhili.,correct,,,
G0007,annonces-legales/fr/2008/008:2008S00140SRLB1,EV_f3260988fd61001c3d5c,constituted,,Société Changuel Distribution,,2008-01-07,registration,corp.constituted,Constitution d'une SARL,correct,,,
G0007,annonces-legales/fr/2008/008:2008S00140SRLB1,EV_89090c81fc82839c3add,appointed,Changuel Mohamed Salem,Société Changuel Distribution,gerant,2008-01-07,registration,corp.role_colon,Gérant : Mr Changuel Mohamed Salem avec les pouvoirs les plus étendus.,correct,,,
G0009,annonces-legales/fr/2008/011:2008G00516SRLB2,EV_4c74caac903bf7016ebf,headquarters_moved,,Sté Multi- Services Sanitaires M.S.S,,2007-09-29,act,corp.hq,## Transfert du siège social,correct,,,
G0010,annonces-legales/fr/2008/013:2008S00321SRLB1,EV_3733161d4ac5c451b3b4,constituted,,Société JDIDI,,2008-02-02,filing,corp.constituted,Construction d'une S.A.R.L,correct,,,
G0011,annonces-legales/fr/2008/015:2008S00413SRLB2,EV_a928f1ae9f4527d40380,dissolved,,Société Framotex de Confection SARL,,2008-02-05,act,corp.dissolved,- La dissolution de la société et la nomination de Monsieur Fredj Ben Amor liquidateur de la société.,correct,,,
G0011,annonces-legales/fr/2008/015:2008S00413SRLB2,EV_b60f4c727d096ecc3d59,appointed,Fredj Ben Amor,Société Framotex de Confection SARL,liquidateur,2008-02-05,act,corp.appointed,- La dissolution de la société et la nomination de Monsieur Fredj Ben Amor liquidateur de la société.,correct,,,
G0013,annonces-legales/fr/2008/016:2008T00867SRLB2,EV_ef31fc50fbcaae8598d2,headquarters_moved,,TECHNO CHEMICALS - SARL,,2008-01-28,act,corp.hq,### Changement d'adresse,correct,,,
G0014,annonces-legales/fr/2008/018:2008G01030SANB2,EV_1b8081354c1bd48976f8,capital_increased,,"Société Boumakhlouf des Huiles, SA",,2007-12-05,act,corp.cap_up,## Notice d'information pour l'augmentation du capital d'une S.A,correct,,,
G0014,annonces-legales/fr/2008/018:2008G01030SANB2,EV_9d241a94e9da0be9952f,liquidated,,"Société Boumakhlouf des Huiles, SA",,2007-12-05,act,corp.liquidated,"Répartition du résultat, constitution des réserves et répartition du boni de liquidation : Selon la législation en vigueur.",correct,,,
G0015,annonces-legales/fr/2008/020:2008N00182SRLB2,EV_1ce334eea075530ae0f0,shares_transferred,Manetti Leonardo,Société Trezeta Group TN,,2008-01-30,act,corp.shares,"Suivant acte de cession de parts en date du 30 janvier 2008 enregistré à Nabeul le 22 février 2008, sous le n° 08100642, Monsieur Manetti Leonardo a cédé par le présent les 75 parts sociales lui reven",correct,,,
G0015,annonces-legales/fr/2008/020:2008N00182SRLB2,EV_01f27dd707dfab14b40f,shares_transferred,Zappolini Walter,Société Trezeta Group TN,,2008-01-30,act,corp.shares,"Suivant acte de cession de parts en date du 30 janvier 2008 enregistré à Nabeul le 22 février 2008, sous le n° 08100642, Monsieur Manetti Leonardo a cédé par le présent les 75 parts sociales lui reven",correct,,,
G0015,annonces-legales/fr/2008/020:2008N00182SRLB2,EV_276780876e4ba752bf6d,resigned,Manetti Leonardo,Société Trezeta Group TN,cogerant,2008-01-30,act,corp.resigned,"Et suivant procès-verbal de l'assemblée générale extraordinaire en date du 3 février 2008 enregistré à Nabeul le 22 février 2008 sous le n° 08800644, la collectivité des associés approuve la démission",correct,,,
G0016,annonces-legales/fr/2008/023:2008G01354SRLB1,EV_7ac316ee7dcc9ab6c3b7,constituted,,EUROFOOD,,2008-03-10,act,corp.constituted,Constitution d'une SARL,correct,,,
G0016,annonces-legales/fr/2008/023:2008G01354SRLB1,EV_e3c843091f79fc7a47ba,appointed,Samia Ajleni,EUROFOOD,gerant,2008-03-10,act,corp.appointed,"Gérance : Suivant PV de l'AGO du 10 mars 2008, enregistré à la recette de l'enregistrement des actes des sociétés 1er bureau Tunis le 10 mars 2008 sous n° 8802144, quittance n° 2806, Mme Samia Ajleni,",correct,,,
G0017,annonces-legales/fr/2008/023:2008G01373SRLB2,EV_877450780f50f0acd740,capital_increased,,Société Hôtelière La Princesse,,2008-03-03,act,corp.cap_up,Augmentation du capital social et nomination d'un gérant,correct,,,
G0017,annonces-legales/fr/2008/023:2008G01373SRLB2,EV_dbf7f36e1383c8d3c31e,resigned,Naoufel Bouattour,Société Hôtelière La Princesse,gerant,2008-03-03,act,corp.resigned,- Nommer Monsieur Naoufel Bouattour gérant de la Société en remplacement de Monsieur Abdelwaheb Bouattour démissionnaire pour une durée indéterminée avec les pouvoirs les plus étendus.,correct,,,
G0017,annonces-legales/fr/2008/023:2008G01373SRLB2,EV_4cce57d0a87fe492d0ee,resigned,Abdelwaheb Bouattour,Société Hôtelière La Princesse,gerant,2008-03-03,act,corp.resigned,- Nommer Monsieur Naoufel Bouattour gérant de la Société en remplacement de Monsieur Abdelwaheb Bouattour démissionnaire pour une durée indéterminée avec les pouvoirs les plus étendus.,correct,,,
G0018,annonces-legales/fr/2008/026:2008A00259SRLB1,EV_aa5afc69a094d5376f81,constituted,,Société Computer Zone,,2008-03-19,filing,corp.constituted,Constitution d'une S.A.R.L.,correct,,,
G0018,annonces-legales/fr/2008/026:2008A00259SRLB1,EV_5f144ef838131b7d3ed9,appointed,Mohamed Manef Tajouri,Société Computer Zone,gerant,2008-03-19,filing,corp.role_colon,Gérant : Mr Mohamed Manef Tajouri avec les pouvoirs les plus étendus.,correct,,,
G0019,annonces-legales/fr/2008/032:2008X00762SRLB1,EV_1ffb7ccfac7058f2b789,constituted,,Société PROBOIS,,2008-03-03,act,corp.constituted,Société « PROBOIS »,correct,,,
G0019,annonces-legales/fr/2008/032:2008X00762SRLB1,EV_48013595eb66e2153906,appointed,Mohamed Adel Fendri,Société PROBOIS,gerant,2008-03-03,act,corp.role_colon,Gérance : Monsieur Mohamed Adel Fendri.,correct,,,
G0020,annonces-legales/fr/2008/033:2008G01963SANB2,EV_0eb9eaaa6acdc6cc07eb,capital_increased,,INVESTMENT TRUST Tunisia,,2008-01-31,act,corp.cap_up,- Augmentation du capital social de 4.250.000DT à 6 350.000DT divisé en 63 500 actions de 100DT chacune.,correct,,,
G0021,annonces-legales/fr/2008/034:2008G02031SRLB1,EV_3ea000bcb1de7c573479,constituted,,Mondial Sac SARL,,2008-04-17,filing,corp.constituted,Constitution d'une société à responsabilité limitée,correct,,,
G0021,annonces-legales/fr/2008/034:2008G02031SRLB1,EV_14f23128e140d72b1582,appointed,Russo Francesco Chiapparone Carmine,Mondial Sac SARL,gerant,2008-04-17,filing,corp.role_colon,"Gérance : Confiée à Messieurs Russo Francesco Chiapparone Carmine pour une période de 3 ans, avec les pouvoirs les plus étendus.",wrong_person,,,source runs two names together with no separator
G0022,annonces-legales/fr/2008/034:2008R01256SRLB1,EV_e4e6606f8e7b655d01ff,constituted,,Société Laser Software SARL,,2008-03-10,act,corp.constituted,Société LASER Software « SARL »,correct,,,
