coding_id,stratum,edge_id,entry_uid,subject_name,relation,layer,counterparty_name,counterparty_kind,year,extractor,pattern_id,folio,evidence_quote,verdict,correct_relation,correct_counterparty,coder,coder_note
E0001,kinship|llm,ED_088fad777a758d5230d3,aalam:3.14,محمد الأمين الشابي,sibling_of,kinship,أبو القاسم الشابي,person,,llm,aalam-model-v1,373-376,"وشقيق الشاعر الملهم

أبي القاسم الشابي",correct,,,C1,"Appositive chain describing the entry subject Muhammad al-Amin al-Shabbi: wa-shaqiq al-sha'ir al-mulham Abi al-Qasim al-Shabbi. Sibling tie stated, right direction (symmetric)."
E0002,kinship|llm,ED_1f412c6263bd5fe1a756,aalam:2.10,البشير بن الخوجة,child_of,kinship,شيخ الإسلام محمد بن الخوجة,person,,llm,aalam-model-v1,225-236,"أصغر أبنا،
شيخ الإسلام محمد بن الخوجة الخالد الذكر",correct,,,C1,"Full sentence: wa-huwa rabi' abna' al-Shaykh al-Bashir b. al-Khuja, asghar abna' Shaykh al-Islam Muhammad b. al-Khuja. The apposition asghar abna' attaches to al-Bashir, immediately preceding it, so al-Bashir is the youngest son of Shaykh al-Islam Muhammad. Entry subject (b.1869) is the grandson named for the grandfather; no contradiction with E0016."
E0003,kinship|llm,ED_2c038bb5c2ad03cb5c65,aalam:3.05,مصطفى,married_to,kinship,زوجته الثانية القيروانية,person,,llm,aalam-model-v1,319-326,"حيث تزوج مرتين وأنجب من
زوجته الثانية القيروانية ابنه حسونة",correct,,,C1,"Text: tazawwaja marratayn wa-anjaba min zawjatihi al-thaniya al-qayrawaniyya ibnahu Hassuna; the following sentence names the man Mustafa. Marriage is stated. BUT the counterparty is not a name, it is a possessive descriptor for an anonymous woman - this edge cannot resolve to a node. Also note the source itself is inconsistent about whether this Mustafa is the subject's father or grandfather (the passage opens with jaddihi)."
E0004,kinship|llm,ED_2e27f2215415adfbd25a,aalam:2.15,الصادق التلاتلي,child_of,kinship,محمد التلاتلي الأمين الزراعي,person,,llm,aalam-model-v1,277-286,وقد كان والده محمد التلاتلي الأمين الزراعي، فلاحاً غليظاً ومستقيماً,correct,,,C1,wa-qad kana waliduhu Muhammad al-Talatli al-amin al-zira'i - possessive refers to the entry subject al-Sadiq al-Talatli. Correct direction.
E0005,kinship|llm,ED_5a428846e37fc13cd3ab,aalam:1.02,العربي زروق,kin_of,kinship,العائلة الحسينية,person,,llm,aalam-model-v1,33-48,ذلك أنه بفضل مصاهرته للعائلة المالكة وارتباطه ببعض العائلات البرجوازية,correct,,,C1,"bi-fadli musaharatihi lil-'a'ila al-malika: affinal tie stated of al-Arabi Zarruq, the man just named as Sahib al-Tabi's enemy. Two caveats: the sentence says al-'a'ila al-malika, not al-Husayniyya (the name is supplied from elsewhere in the entry, which does call the house al-'a'ila al-Husayniyya); and counterparty_kind is 'person' for what is a lineage, not a person."
E0006,kinship|llm,ED_65f4b3fcdb6ccb39e167,aalam:3.06,خالد بوحاجب,child_of,kinship,علي بوحاجب,person,,llm,aalam-model-v1,327-332,عطف قرينته الوفية وابنيه خالد والسيدة حرم صالح بن خليفة,correct,,,C1,"Entry subject is Ali Bouhajeb; fa-harramahu min 'atf qarinatihi al-wafiyya wa-ibnayhi Khalid... - the possessive runs back to the subject, so Khalid is his son. Direction right (child_of)."
E0007,kinship|llm,ED_697b2d9d99e98605e702,aalam:1.02,عثمان باي,sibling_of,kinship,حمودة باشا,person,,llm,aalam-model-v1,33-48,واقترح عليهم تنصيب الأمير عثمان باي شقيق الملك الراحل، على العرش الشاغر,correct,,,C1,"shaqiq al-malik al-rahil resolves to Hammuda Pasha, whose death on 15 Sept 1814 is named two clauses earlier. The VSO verb iqtaraha belongs to the entry subject Yusuf Sahib al-Tabi, and the extractor correctly did NOT make him a party to the tie."
E0008,kinship|llm,ED_6c17cf9695c432b46f7b,aalam:3.09,الشاذلي خير الله,child_of,kinship,خير الله بن مصطفى,person,,llm,aalam-model-v1,345-348,هو الابن الأكبر للمرحوم الجنرال خير الله بن مصطفى,correct,,,C1,Opening sentence of the entry: al-Shadhili Khayrallah huwa al-ibn al-akbar lil-marhum al-General Khayrallah b. Mustafa.
E0009,kinship|llm,ED_81b0b0e7d9a02d94d3d9,aalam:3.11,محمود الماطري,kin_of,kinship,أحمد الماطري,person,,llm,aalam-model-v1,355-360,وكان جدّه ووالده، الشيخان أحمد والمختار الماطري مدرسين حنفيين,correct,,,C1,"jadduhu wa-waliduhu, al-shaykhan Ahmad wa-al-Mukhtar al-Matri - paired in order, so Ahmad is the grandfather and al-Mukhtar the father. kin_of is the right generic label; child_of would have been wrong here. The father (al-Mukhtar) is the child_of counterparty and appears to be unextracted."
E0010,kinship|llm,ED_916bae71dccf939758df,aalam:2.09,الداماد فريد باشا,kin_of,kinship,السلطان وحيد الدين,person,,llm,aalam-model-v1,193-224,بين الوزارة وبين السلطان المتعلق دائماً بصهره,correct,,,C1,"al-sultan al-muta'alliq da'iman bi-sihrihi: the sihr is Damad Ferid. The sultan is named Wahid al-Din ~1200 chars earlier in the same 1919 Istanbul episode (OCR 'wahik al-din'), so the counterparty identification is in the text, not imported. Affinal tie, symmetric."
E0011,kinship|llm,ED_a82159debf861e95aab5,aalam:2.02,البشير صفر,child_of,kinship,مصطفى صفر,person,,llm,aalam-model-v1,121-132,وكان هو ثالث الأبنا، الذكور الذين أنجبهم أمير اللوا، مصطفى صفر,correct,,,C1,wa-kana huwa thalith al-abna' al-dhukur alladhina anjabahum amir al-liwa' Mustafa Safar - subject is the entry subject al-Bashir Safar.
E0012,kinship|llm,ED_b3ccb66122849b89973d,aalam:3.08,محيي الدين السنوسي,child_of,kinship,محمد السنوسي,person,,llm,aalam-model-v1,341-344,وقد ترك بعد وفاته طفلين أكبرهما يدعى محيي الدين,correct,,,C1,"Possessive trap handled correctly: 'left two children after his death' refers to the father Muhammad al-Sanusi (the preceding sentence is about his death while writing Majma' al-Dawawin), not to the entry subject Zayn al-Abidin, who is named as the younger of the two in the next clause."
E0013,kinship|llm,ED_b44842866d329192a999,aalam:2.06,محمد باي,kin_of,kinship,أحمد باي الأول,person,,llm,aalam-model-v1,169-176,عهد الأمير أحمد باي الأول وفي مذة خخلفه وابن عمه الأمير محمّد باي,correct,,,C1,"fi mudda khalafihi wa-ibn 'ammihi al-amir Muhammad Bay - both possessives run back to Ahmad Bay al-Awwal, so Muhammad Bay is his cousin. kin_of correct; the sentence also states a succeeded tie that was not extracted."
E0014,kinship|llm,ED_b8eb2ed9992aa9faebd9,aalam:2.09,طاهر خير الدين,child_of,kinship,خير الدين,person,,llm,aalam-model-v1,193-224,التحق مع بقيّة إخوته وعائلته بوالده الجنرال خير الدين العظيم,correct,,,C1,"iltahaqa ma'a baqiyyat ikhwatihi wa-'a'ilatihi bi-walidihi al-General Khayr al-Din - entry subject is Tahir Pasha Khayr al-Din. Duplicate of E0019 (same sentence, llm and rule strata): the pair should be deduplicated before the edge list is built."
E0015,kinship|llm,ED_b9a93e2ed37a243170c4,aalam:1.01,أبو العباس أحمد,child_of,kinship,عثمان داي,person,,llm,aalam-model-v1,25-32,وبإعانة ابنه أبى العباس أحمد المشارك له,correct,,,C1,"wa-bi-i'anati ibnihi Abi al-Abbas Ahmad al-musharik lahu fi idarat al-iyala - the possessive attaches to Uthman Day, named as the clause subject just before. Direction right."
E0016,kinship|llm,ED_bd331cc9ca328b808457,aalam:2.10,محمد بن الخوجة,child_of,kinship,البشير بن الخوجة,person,,llm,aalam-model-v1,225-236,وهو رابع أبنا، الشيخ البشير بن الخوجة,correct,,,C1,"wa-huwa rabi' abna' al-Shaykh al-Bashir b. al-Khuja, of the entry subject Muhammad b. al-Khuja b. Feb 1869. Consistent with E0002 (three generations: Shaykh al-Islam Muhammad > al-Bashir > Muhammad)."
E0017,kinship|rule,ED_269997ec370fe1ad7b77,aalam:3.08,زين العابدين السنوسي,child_of,kinship,محمد السئوسي,person,,rule,KIN01,341-344,ذلك أن والده هو الشيخ محمد السئوسي الذي شغل,correct,,,C1,dhalika anna waliduhu huwa al-Shaykh Muhammad al-Sanusi - possessive on the entry subject Zayn al-Abidin al-Sanusi.
