edge_id,layer,relation,from_id,from_name,from_fr,from_ijmes,to_id,to_name,to_fr,to_ijmes,to_kind,subjects_studied,year,year_lo,year_hi,date_precision,evidence_tier,extractor,pattern_id,confidence,entry_uid,evidence_quote
ED_27270b32471923898f81,office,appointed_to,PERSON_ABYHAJB_KHLYL,خليل بو حاجب,Khalil Bou Hajeb,Khalil Bu Hajib,OFFICE_WZARH_KBRY,الوزارة الكبرى,Grand Vizirat,Grand Vizirate,office,,1927,1927-01-01,1932-12-31,year_range,book_stated,llm,aalam-model-v1,0.80,aalam:2.03,"خليل بو حاجب الذي تولى الوزارة الكبرى من سئة 1927
إلى سنة 1932"
ED_a034f5c65c105b9258d9,office,appointed_to,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,OFFICE_AMAMH_WKHTABH_JAM_SBHAN_LH,إمامة وخطابة جامع سبحان الله,Imamat et prédication à la mosquée Sobhan Allah,Imamate and preaching at the Subhan Allah mosque,office,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,كان الشيخ سالم بوحاجب إماماً خطيباً ل«ابجامع سبحان الله، في تونس
ED_7cafa574aa815e6515d9,office,appointed_to,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,OFFICE_KHTH_FTYA_MALKYH,خطة الفتيا المالكية,Charge de la fatwa malékite,Office of the Maliki muftiship,office,,1906,1906-01-01,1906-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,إذ تقلّد في تلك السنة خطة الفتيا المالكية وتدرّج في سلكها
ED_0052bee732b6b205778a,office,appointed_to,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,OFFICE_MSHYKHH_ASLAM_MALKYH,مشيخة الإسلام المالكية,cheikhat de l'Islam malékite,office of the Maliki Shaykh al-Islam,office,,1919,1919-01-01,1919-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,ارتقى إلى خطة مشيخة الإسلام المالكية في سنة
ED_2400e3e93ab570b80e7b,office,patronised_by,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,ORG_ALH_BYRM,عائلة بيرم,la famille Bayram,Ailat Bayram,org,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,التمتع برعاية أية عائلة مشهورة من عائلات العاصمة، ما عدا عائلة بيرم
ED_dcd03367c928f4497d68,office,commissioned_by,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_KHYRALDYN,خير الدين,Général Khereddine,General Khayr al-Din,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,استعان بالشيخ سالم بوحاجب وكذلك بصديقه الشيخ محمد بيرم لتحرير كتابه
ED_04d5bfdbfa335d2d8f31,office,left_post,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,ASSOC_JMYH_KHLDWNYH,الجمعية الخلدونية,La Khaldounia,al-Khalduniyya,association,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.07,بعد مغادرة عضوين من أبرز أعضا، هيئتها المديرة
ED_7b3922e10ed608b4484b,office,appointed_to,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,OFFICE_ASHRAF_LY_DRWS_TRJMH_WALANSHA,الإشراف على دروس الترجمة والإنشاء,Direction des cours de traduction et de rédaction,Supervision of the translation and composition classes,office,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,كُلّفَ بالإشراف على دروس الترجمة والإنشاء
ED_f065a75a4256991177a0,office,appointed_to,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,OFFICE_MDYR_ADARH_GHABH,مدير إدارة الغابة,directeur de l'administration des Forêts,director of the forestry administration,office,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,ألا وهو منصب مدير إدارة الغابة
ED_a0baaae2d3c13fe0897c,office,appointed_to,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,OFFICE_MLM_BALMDRSH,معلّم بالمدرسة,instituteur à l'école,teacher at the school,office,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,عاد إلى تونس بعد إتمام دراسته حتى عيّن معلّماً بالمدرسة
ED_62835b9285156b5b2bd3,office,left_post,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,OFFICE_TLYM,التعليم,L'enseignement,Teaching,office,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,وجد نفسه مضطراً إلى الانقطاع عن مهمة التعليم التي طالما
ED_9d4d4dce92f1b73890ec,office,patronised_by,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,PERSON_KHYRALDYN,خير الدين,Général Khereddine,General Khayr al-Din,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,حسب رغبة الوزير خير الدين العظيم. بالاضطلاع بمهمة الإشراف
ED_36d886b32247457a09c8,office,succeeded,PERSON_AWL_AHMD,أحمد باي الأول,Ahmed Bey El Aouel,Ahmad Bay al-Awwal,PERSON_MSTFY,مصطفى باي,Mustapha Agha,Mustafa Agha,person,,1837,1837-10-10,1837-10-10,year,book_stated,llm,aalam-model-v1,0.80,aalam:1.05,خلفاً لوالده
ED_bf7de0db053236db0b34,office,recommended,PERSON_AZM_SDR,الصدر الأعظم,Grand Vizir,Grand Vizier,PERSON_WRDANY_LY,علي الورداني,Ali Ouardani,Ali al-Wardani,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.01,بأنه قد اقترح على السلطان تعيينه كاتبا للبعثة
ED_55fbe3ae0713af2cce1b,office,patronised,PERSON_BDHMYD_SLTAN,السلطان عبد الحميد,Le sultan Abdelhamid,al-Sultan Abd al-Hamid,PERSON_KHYRALDYN,خير الدين باشا,Général Khereddine,General Khayr al-Din,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.05,"حرصاً منه
على إظهار ما يوليه من عناية لأسرة وزيره الأكبر السابق خير الدين باشا"
ED_2b8122a15e81545bf905,office,appointed_to,PERSON_BDH_MHMD,محمد عبده,Mohamed Abdou,Muhammad Abduh,OFFICE_MFTY_DYAR_MSRYH,مفتي الديار المصرية,mufti d'Égypte,Mufti of Egypt,office,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.03,"مفتي الديار المصرية الشيخ محمد
عبده(ة) الذي اجتازت شهرته حدود وادي النيل"
ED_9b780d663da37f8398e8,office,appointed_to,PERSON_BDH_MHMD,محمد عبده,Mohamed Abdou,Muhammad Abduh,OFFICE_MFTY_DYAR_MSRYH,مفتي الديار المصرية,mufti d'Égypte,Mufti of Egypt,office,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.08,الشيخ محمد عبده مفتي الديار المصرية محاضرته الخالدة الذكر
ED_5235982cf6f3fd52282b,office,appointed_to,PERSON_BHRY_MHMD,محمد البحري,Mohamed El Bahri,Muhammad al-Bahri,OFFICE_QADY_JMAH,قاضي الجماعة,juge de la communauté,judge of the community,office,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:1.04,ولا استحسان قاضي الجماعة الشيخ محمد البحري
ED_ae0207a45012c5589c3a,office,patronised_by,PERSON_BNASHWR_MHMD_FADL,محمد الفاضل بن عاشور,Mohamed Fadhel Ben Achour,Muhammad al-Fadil Ibn Ashur,PERSON_THANY_HSN,مولاي الحسن الثاني,Moulay El Hassan Ethani,Mawlay al-Hasan al-Thani,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.10,انتباه مولاي الحسن الثاني، الملك الشهم والمثقف الثاقب الفكر
