edge_id,layer,relation,from_id,from_name,from_fr,from_ijmes,to_id,to_name,to_fr,to_ijmes,to_kind,subjects_studied,year,year_lo,year_hi,date_precision,evidence_tier,extractor,pattern_id,confidence,entry_uid,evidence_quote
ED_9483f7e6e41b3b122633,membership,authored,PERSON_ABN_ASKNDR_DWMAS,الاسكندر دوماس الإبن,Alexandre Dumas fils,al-Iskandar Dumas al-Ibn,WORK_GHADH_KAMYLYA,غادة الكاميليا,La Dame aux camélias,Ghadat al-Kamilya,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.04,يتمثل في رواية الاسكندر دوماس الإبن، «غادة الكاميليا»
ED_bdb544f8cdaf00c62f40,membership,wrote_for,PERSON_ABYHAJB_MR,عمر بو حاجب,Omar Bou Hajeb,Umar Bu Hajib,NEWS_JRYDH_HADRH,جريدة الحاضرة,El Hadhira,al-Hadira,newspaper,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.03,وعمر بو حاجب، وعلى وسجه الخصوص البشير صفر الذي
ED_12f6879b49e6f6971a78,membership,member_of,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,ORG_LJAN_MHDTHH_LDBT_ASLAHAT_ASASYH,اللجان المحدثة لضبط الاصلاحات الأساسية,les commissions créées pour régler les réformes fondamentales,the committees set up to regulate the basic reforms,org,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,كما عيّن سالم بوحاجب عضواً في مختلف اللجان المحدثة لضبط الاصلاحات الأساسية
ED_fa34a060f749b43bd1e7,membership,member_of,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,ORG_MJLS_SHRY,المجلس الشرعي,le Conseil charaïque,al-Majlis al-Shari,org,,1906,1906-01-01,1906-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,لم يتمكن إلا في سنة 1906 من الدخول إلى المجلس الشرعي
ED_7beefd62f0549fafa845,membership,colleague_of,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_BKWSH_MHMD,محمد البكوش,Mohamed El Bakkouche,Muhammad al-Bakkush,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,وطوراً بضاحية أريانة في بيت محمد البكوش
ED_993fa173db7f78bd3f07,membership,colleague_of,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_BYRM_MHMD,محمد بيرم,Mohamed Bayram,Muhammad Bayram,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,أو بالعاصمة في بيت الشيخ محمد بيرم
ED_e7ca0478e3c88a9713e8,membership,colleague_of,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_HSYN,الجنرال حسين,Général Hussein,General Husayn,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,والجنرال حسين.ء صديق سالم بوحاجب وزميله في الدراسة
ED_2e4731d236e4b3036ce8,membership,colleague_of,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_ZAWSH_BDJLYL,عبد الجليل الزاوش,Abdeljelil Zaouche,Abd al-Jalil al-Zawush,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,كانت تعقد تارة بضاحية المرسي في بيت عبد الجليل الزاوش
ED_36f6750aaddc0bdb35d5,membership,authored,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,WORK_DYWAN_SHR,ديوان شعر,recueil de poésie,collection of poetry,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,فقد ترك ديواناً من الشعر الجيّد لم ينشر إلى الآن
ED_4ee8a2dc124f75da08b2,membership,authored,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,WORK_MKHTARAT_MN_KHTB_JMYH,مختارات من الخطب الجمعية,Mokhtarat min el-Khoutab el-Joumouiya,Mukhtarat min al-Khutab al-Jumuiyya,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,جمع فيه مختارات من خخطبه الجمعية البليغة
ED_08ae25250a754fe57fde,membership,headed,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,ASSOC_JMYH_KHLDWNYH,الجمعية الخلدونية,La Khaldounia,al-Khalduniyya,association,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,سوا، كعضو في الهيئة المديرة للجمعية أو كرئيس، عن العمل والنضال
ED_f24ac040f9f795ce445a,membership,member_of,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,ASSOC_JMYH_KHLDWNYH,الجمعية الخلدونية,La Khaldounia,al-Khalduniyya,association,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,طوال ثلاثين سنة، سوا، كعضو في الهيئة المديرة للجمعية أو كرئيس
ED_a0530c83200d7138e358,membership,member_of,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,ASSOC_JMYH_KHLDWNYH,الجمعية الخلدونية,La Khaldounia,al-Khalduniyya,association,,1896,1896-01-01,1896-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,وسيوفر له إنشا، الجمعية الخلدونية سنة 1896 الإطار الملائم
ED_0e3c2fe30157d0ca334c,membership,founded,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,NEWS_JRYDH_TWNSY,جريدة التونسي,Et-Tounsi,al-Tunsi,newspaper,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,إصدار جريدة ناطقة باللغة الفرنسية، هى جريدة «التونسى
ED_e5589859e48d0ce0548e,membership,wrote_for,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,NEWS_JRYDH_TWNSY,جريدة التونسي,Et-Tounsi,al-Tunsi,newspaper,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,وسيكون تحت طىّ الخفا، أحد محرّريها الأكثر نشاطاً والأحسن إلهاماً
ED_f010bdc6cfc3271d01f2,membership,member_of,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,ORG_ADARH_FLAHH,إدارة الفلاحة,Direction de l'Agriculture,agriculture administration,org,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,إذ دُعى إلى الالتحاق بإدارة الفلاحة الحديثة العهد
ED_d49c8162a158b325c420,membership,member_of,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,ORG_HRKH_SHBAB_TWNSY,حركة الشباب التونسي,Jeunes Tunisiens,Harakat al-Shabab al-Tunisi,org,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.13,"وخير الله بن مصطفى ومحمد
الأصرم ومحمد بن الخوجة"
ED_a197a0e6d0e5d70775c0,membership,member_of,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,ORG_MTMR_ASTMARY_BMRSYLYA,المؤتمر الاستعماري بمرسيليا,le Congrès colonial de Marseille,al-Mutamar al-Istimari bi-Marsiliya,org,,1906,1906-01-01,1906-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,دراساته العديدة المقدّمة إلى المؤتمر الاستعماري المنعقد بمرسيليا
ED_b0150845b39b0c14aab1,membership,member_of,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,ORG_MTMR_ASTMARY_BMRSYLYA,المؤتمر الاستعماري بمرسيليا,le Congrès colonial de Marseille,al-Mutamar al-Istimari bi-Marsiliya,org,,1906,1906-01-01,1906-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.04,"ما لقيه ممحمل الأصرم من صدىق
طيّب في المؤتمر الاستعماري المنعقد بمرسيليا سنة 1906"
ED_83398dfe4e60120e5c29,membership,member_of,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,ORG_MTMR_SHMAL_AFRYQYA_BBARYS,مؤتمر شمال إفريقيا بباريس,Congrès nord-africain de Paris,"North African Congress, Paris",org,,1908,1908-10-01,1908-10-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,كان مترجمنا المضطر إلى البقا، بتونس من أوْل من وجُهوا بحوثهم إلى
ED_9c13dc29d84435261176,membership,colleague_of,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,PERSON_BWRD_BWL,بول بورد,Paul Bourde,Bul Burd,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,بول بورد، من فرصة العمل المباشر مع ذلك المصلح الجليل
ED_7a93a07ecf368645d202,membership,colleague_of,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,PERSON_SAR_FYKTWR,فيكتور سار,Victor Sar,Fiktur Sar,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,أنه قد نقل إلى اللغة الفرنسية بالاشتراك مع فيكتور سار
ED_0acc6e63bd1957082d01,membership,authored,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,WORK_MSAL_TWNSYH,مسائل تونسية,Masail Tounisia,Masail Tunisiyya,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,جمعها صاحبها فيما بعد في نشرية واحدة بعنوان «مسائل تونسية
ED_ead600be618fbf985076,membership,authored,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,WORK_MSHR_MLKY_FY_SLTNH_AWLAD_HSYN_BN_LY_TRKY,المشرع الملكي في سلطنة أولاد حسين بن علي تركي,El Mochre el-Malaki fi Saltanat Aoulad Hocine Ben Ali Turki,al-Mashra al-Malaki fi Saltanat Awlad Husayn Ibn Ali Turki,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,كتاب «المشرع الملكي في سلطنة أولاد حسين بن علي تركي)
ED_dc2d4ac964d2c8693ca3,membership,authored,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,WORK_RHLH_ALY_BLAD_SNWSYH,الرحلة إلى بلاد السنوسية,Er-Rihla ila Bilad es-Senoussia,al-Rihla ila Bilad al-Sanusiyya,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,ترجم بالاشتراك مع نفس المؤلف كتاب «الرحلة إلى بلاد السئوسية،
ED_cbebb4c442301fc4fd72,membership,member_of,PERSON_ASWD_TAHR,الطاهر الأسود,Tahar El Assoued,al-Tahir al-Aswad,ORG_HRKH_SHBAB_TWNSY,حركة الشباب التونسي,Jeunes Tunisiens,Harakat al-Shabab al-Tunisi,org,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.13,والصادق الزمرلي والطاهر الأسود
ED_91c28a827f33e52983cf,membership,founded,PERSON_AWL_AHMD,أحمد باي الأول,Ahmed Bey El Aouel,Ahmad Bay al-Awwal,SCH_MDRSH_HRBYH_BBARDW,المدرسة الحربية بباردو,École militaire du Bardo,al-Madrasa al-Harbiyya bi-Bardu,school,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:1.05,إحداث مدرسة حربية بباردو
ED_62a216be5b3db8490f85,membership,founded,PERSON_AWL_AHMD,أحمد باي الأول,Ahmed Bey El Aouel,Ahmad Bay al-Awwal,SCH_MDRSH_HRBYH_BMNWBH,المدرسة الحربية بمنوبة,École militaire de la Manouba,al-Madrasa al-Harbiyya bi-Manuba,school,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.05,مقرّ المدرسة الحربية التى أنشأها أحمد باي الأول
ED_b81b7be6876a30b1fddd,membership,wrote_for,PERSON_BDWHAB_HSN_HSNY,حسن حسني عبد الوهاب,Hassan Hosni Abdelwahab,Hasan Husni Abd al-Wahhab,NEWS_JRYDH_HADRH,جريدة الحاضرة,El Hadhira,al-Hadira,newspaper,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.03,"وبعض المثقفين من ذوي التكوين العصري أمثال، حسن
حسني عبد الواب وعبد الجليل الزاوش وأحمد الغطاس"
ED_c152b1269f979c8f6123,membership,authored,PERSON_BDWHAB_HSN_HSNY,حسن حسني عبد الوهاب,Hassan Hosni Abdelwahab,Hasan Husni Abd al-Wahhab,WORK_MJML_TARYKH_ADB_TWNSY,مجمل تاريخ الأدب التونسي,Moujmal Tarikh el-Adab Ettounsi,Mujmal Tarikh al-Adab al-Tunisi,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.04,حسن حسني عبد الوهاب: «مجمل تاريخ الأدب التونسي » صفحة 349
ED_8cc85fa8e8d8ddfaec0f,membership,authored,PERSON_BDWHAB_HSN_HSNY,حسن حسني عبد الوهاب,Hassan Hosni Abdelwahab,Hasan Husni Abd al-Wahhab,WORK_SHHYRAT_TWNSYAT,شهيرات التونسيات,Chahirat Ettounisiat,Shahirat al-Tunisiyyat,work,,1934,1934-01-01,1934-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:1.01,حسن حسئي عبد الوهاب: «شهيرات التونسيّات»
ED_c994b391cde58715e5f9,membership,authored,PERSON_BDWHAB_HSN_HSNY,حسن حسني عبد الوهاب,Hassan Hosni Abdelwahab,Hasan Husni Abd al-Wahhab,WORK_WRQAT,الورقات,El Warakat,al-Waraqat,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.01,"انظر ترجمة حياة علي الورداني في «الورقات،
تأليف حسن حسني عبد الوهاب"
ED_30e1627dd87c1b3b2f2b,membership,colleague_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_MSTFY,مصطفى آغة,Mustapha Agha,Mustafa Agha,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,وهما المرحومان مصطفى أغة وعبد السلام البكوش
ED_474281280836bcedd318,membership,eulogised_by,PERSON_BNASHWR_MHMD_FADL,محمد الفاضل بن عاشور,Mohamed Fadhel Ben Achour,Muhammad al-Fadil Ibn Ashur,OFFICE_WZYR_TRBYH_QWMYH,وزير التربية القومية,Ministre de l'Éducation nationale,Minister of National Education,office,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.10,الخطاب الرنان الذي ألقاه حضرة وزير التربية القومية فى جنازة
ED_55297c59fbf0318e69d6,membership,member_of,PERSON_BNASHWR_MHMD_FADL,محمد الفاضل بن عاشور,Mohamed Fadhel Ben Achour,Muhammad al-Fadil Ibn Ashur,ORG_MHAFL_LMYH_AFRYQYH_WALSHRQYH,المحافل العلمية الإفريقية والشرقية,les sociétés savantes africaines et orientales,the African and Oriental learned societies,org,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.10,المحافل العلمية الإفريقية والشرقية التي كانت تدعوه إلى الانضمام إليها
ED_c387750369f047f940a0,membership,colleague_of,PERSON_BNASHWR_MHMD_FADL,محمد الفاضل بن عاشور,Mohamed Fadhel Ben Achour,Muhammad al-Fadil Ibn Ashur,PERSON_ABRAHYMY_AHMD_TALB,أحمد طالب الإبراهيمي,Ahmed Taleb Ibrahimi,Ahmad Talib al-Ibrahimi,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.10,ولقد تأثّر ببراعة الشيخ محمد الفاضل وقدرته الفائقة على جلب انتباه
ED_93a53b45b381fc2f04c3,membership,eulogised_by,PERSON_BNASHWR_MHMD_FADL,محمد الفاضل بن عاشور,Mohamed Fadhel Ben Achour,Muhammad al-Fadil Ibn Ashur,PERSON_MZALY_MHMD,محمد مزالي,Mohamed Mzali,Muhammad Mzali,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.10,كان وزير التربية القومية آنذاك الأستاذ محمد مزالي
ED_410430fee8379ed6f21e,membership,authored,PERSON_BNASHWR_MHMD_FADL,محمد الفاضل بن عاشور,Mohamed Fadhel Ben Achour,Muhammad al-Fadil Ibn Ashur,WORK_TRAJM_ALAM,تراجم الأعلام,Tarajim el-Aalam,Tarajim al-Alam,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.10,انظر ترجمة حياته في «تراجم الأعلام، للشيخ محمد الفاضل بن عاشور
ED_5b65090d6c6264c70e6a,membership,member_of,PERSON_BNASHWR_MHMD_TAHR,محمد الطاهر بن عاشور,Mohamed Tahar Ben Achour,Muhammad al-Tahir Ibn Ashur,COURT_MHKMH_QARYH_MKHTLTH,المحكمة العقارية المختلطة,Tribunal Mixte Immobilier,al-Mahkama al-Aqariyya al-Mukhtalata,court,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.12,وبين مهمته كعضو مستشار بالمحكمة العقارية المختلطة
ED_29a3bb677e10d5028eb1,membership,member_of,PERSON_BNASHWR_MHMD_TAHR,محمد الطاهر بن عاشور,Mohamed Tahar Ben Achour,Muhammad al-Tahir Ibn Ashur,ORG_MJLS_MDRSY_JAM_AZM,مجلس مدرسي الجامع الأعظم,le Conseil des professeurs de la Grande Mosquée,Majlis Mudarrisi al-Jami al-Azam,org,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.12,فدعت مترجمنا إلى الانضمام إلى مجلس مدرسي الجامع الأعظم
ED_7e8daba4f468563c0d72,membership,colleague_of,PERSON_BNASHWR_MHMD_TAHR,محمد الطاهر بن عاشور,Mohamed Tahar Ben Achour,Muhammad al-Tahir Ibn Ashur,PERSON_ZAWSH_BDJLYL,عبد الجليل الزاوش,Abdeljelil Zaouche,Abd al-Jalil al-Zawush,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.04,"ومحمد الطاهر بن
عاشور وعبد الجليل الزاوش، هم الذين تكونت منهم المجموعة المنضبطة"
ED_33ecf266b0ad27c3a9de,membership,member_of,PERSON_BNASHWR_MHMD_TAHR,محمد الطاهر بن عاشور,Mohamed Tahar Ben Achour,Muhammad al-Tahir Ibn Ashur,SCH_JAMH_ZYTWNYH,الجامعة الزيتونية,Université Ez-Zitouna,al-Jamia al-Zaytuniyya,school,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.12,المناصب المرموقة في كل من الجامعة الزيتونية الوقورة والمعهد الصادقي
ED_bbbd0f89b9bde92c44dd,membership,member_of,PERSON_BNASHWR_MHMD_TAHR,محمد الطاهر بن عاشور,Mohamed Tahar Ben Achour,Muhammad al-Tahir Ibn Ashur,SCH_MHD_SADQY,المعهد الصادقي,El Maahad Es-Sadiki,al-Mahad al-Sadiqi,school,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.12,المناصب المرموقة في كل من الجامعة الزيتونية الوقورة والمعهد الصادقي
ED_e27119d3e54f2bb8f94c,membership,founded,PERSON_BNASHWR_TAHR,الطاهر بن عاشور,Tahar Ben Achour,al-Tahir Ibn Ashur,ORG_FRW_ZYTWNYH,الفروع الزيتونية,les annexes zitouniennes,the Zaytuna branch schools,org,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.10,ضمن الفروع الزيتونية التي سهر على إنشائها
ED_f30e4e5e8255ac6fe6a6,membership,authored,PERSON_BNASHWR_TAHR,الطاهر بن عاشور,Tahar Ben Achour,al-Tahir Ibn Ashur,WORK_DRS_DYWAN_HMASH,درس ديوان الحماسة,Dars Diwan el-Hamasa,Dars Diwan al-Hamasa,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:3.10,الذي اشتهر بدرسه حول ديوان الحماسة
ED_29d0bd79e9366459b602,membership,authored,PERSON_BNKHWJH_BSHYR,البشير بن الخوجة,Bechir Ben Khoja,al-Bashir Ibn al-Khuja,WORK_TRJMH_ABN_ABY_DYAF,ترجمة ابن أبي الضياف,Tarjamat Ibn Abi ed-Dhiaf,Tarjamat Ibn Abi al-Diyaf,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:1.06,انظر ترجمة ابن أبي الضياف بقلم البشير بن البخوجة
ED_1c623be37b97bba9a9ad,membership,founded,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,ASSOC_JMYH_AWQAF_HRMYN_SHRYFYN,جمعية أوقاف الحرمين الشريفين,Djemiat Aouqaf El Haramain Ech-Charifain,Jamiyyat Awqaf al-Haramayn al-Sharifayn,association,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,"بوصفه العضو
المؤسس لجمعية أوقاف الحرمين الشريفين"
ED_ed778be186ec549475da,membership,member_of,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,ASSOC_JMYH_KHLDWNYH,الجمعية الخلدونية,La Khaldounia,al-Khalduniyya,association,,1896,1896-01-01,1896-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,عضواأً في الهيئة المديرة لتلك المؤسسة الجديدة
ED_3edb55e31991fff2c049,membership,wrote_for,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,NEWS_JRYDH_HADRH,جريدة الحاضرة,El Hadhira,al-Hadira,newspaper,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,"المساهمة بانتظام في تحرير جريدة
«الحاضرة) التي أسّسها صديقه على بوشوشة"
ED_5bd0de9e5f08bce8681d,membership,wrote_for,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,NEWS_JRYDH_HADRH,جريدة الحاضرة,El Hadhira,al-Hadira,newspaper,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.03,"نقتصر على ذكر اللذين لبوا من أول وهلة دعوة مؤسس الجريدة أمثال: محمد
بن الخوجة"
ED_a2ef050ef341ae244f4a,membership,member_of,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,ORG_HRKH_SHBAB_TWNSY,حركة الشباب التونسي,Jeunes Tunisiens,Harakat al-Shabab al-Tunisi,org,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.13,"ومحمد
الأصرم ومحمد بن الخوجة والصادق الزمرلي"
ED_a8b695935b6cf9634536,membership,member_of,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,ORG_MTMR_SHMAL_AFRYQY_BBARYS,مؤتمر الشمال الإفريقي بباريس,le Congrès nord-africain de Paris,Mutamar al-Shamal al-Ifriqi bi-Baris,org,,1908,1908-01-01,1908-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,وقبل ذلك قدّم إلى مؤتمر الشمال الإفريقي المنعقد بباريس سنة 1908
ED_ed2e431922bfd13656d1,membership,colleague_of,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.04,"ومُحمد بن الخوجة
ومحمد الأصرم ومحمد رضوان وخير الله بن مصطفى"
ED_c25ff5b4349fe78e7c89,membership,colleague_of,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,PERSON_BWSHWSHH_LY,علي بوشوشة,Ali Bouchoucha,Ali Bushusha,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,التي أسّسها صديقه على بوشوشة بمشاركة عدد كبير من الشبان
ED_e091a0bed244b4552fda,membership,colleague_of,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,PERSON_SFR_BSHYR,البشير صفر,Bechir Sfar,al-Bashir Safar,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,"صديقه الأكبر منه سنا الأستاذ
البشير صفر، وعين بصفة رئيس قسم مساعد"
ED_30d067e280bdf2cc78bf,membership,authored,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,WORK_FHRS_LMY_LMKTBH_JAM_ZYTWNH_AZM,الفهرس العلمي لمكتبة جامع الزيتونة الأعظم,El Fihris el-Ilmi li-Maktabat Jami Ezzitouna el-Aazam,al-Fihris al-Ilmi li-Maktabat Jami al-Zaytuna al-Azam,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,"دعي
محمد بن الخوجة إلى تأليف الفهرس العلمي لمكتبة جامع الزيتونة الأعظم"
ED_21bde927412aac4a9d14,membership,authored,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,WORK_MALM_TWHYD,معالم التوحيد,Maalim Ettawhid,Maalim al-Tawhid,work,,1938,1938-01-01,1938-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,كتاب «معالم التوحيد)
ED_d1faed55ea5fe26fe384,membership,authored,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,WORK_RHLH_FLYARYH,الرحلة الفليارية,Er-Rihla el-Feliaria,al-Rihla al-Filyariyya,work,,1911,1911-01-01,1911-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,إلى تونس «الرحلة الفليارية، ورحلة
ED_d6ec8a8c4a33d2d5e0d8,membership,authored,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,WORK_RHLH_NASRYH,الرحلة الناصرية,Er-Rihla Ennasiria,al-Rihla al-Nasiriyya,work,,1912,1912-01-01,1912-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,محمد الناصر باي إلى فرنسا: «الرحلة الناصرية)
ED_edfa7d6476362f83d4cd,membership,authored,PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,WORK_RZNAMH_TWNSYH,الرزنامة التونسية,Er-Rouznama Ettounisia,al-Ruznama al-Tunisiyya,work,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.10,"فقد أصدر طوال عدة
سنوات متتالية «الرزنامة التونسية)"
