edge_id,layer,relation,from_id,from_name,from_fr,from_ijmes,to_id,to_name,to_fr,to_ijmes,to_kind,subjects_studied,year,year_lo,year_hi,date_precision,evidence_tier,extractor,pattern_id,confidence,entry_uid,evidence_quote
ED_81c69594a68c40e101a3,tutelage,studied_at,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,MSQ_JAM_ZYTWNH,جامع الزيتونة,Jamaa Ez-Zitouna,Jami al-Zaytuna,mosque,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,أنهى تعليمه الابتدائي والتحق بجامع الزيتونة المعمور
ED_a8fc8820acb8d37a85c4,tutelage,taught_at,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,MSQ_JAM_ZYTWNH,جامع الزيتونة,Jamaa Ez-Zitouna,Jami al-Zaytuna,mosque,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,فتصدّى لتدريس العلم بجامع الزيتونة المعمور
ED_5358d252172b91370221,tutelage,studied_under,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_BNMLWKH_MHMD,محمد بن ملوكة,Mohamed Ben Mellouka,Muhammad Ibn Malluka,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,الخضار والشيخ محمد بن ملوكة والشيخ إبراهيم الرياحي
ED_8efb6f0130d3be492421,tutelage,studied_under,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_BYRM_MHMD,محمد بيرم,Mohamed Bayram,Muhammad Bayram,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,والشيخ محمد النيفر والشيخ محمد بيرم، دون أن ننسى
ED_cf24b93f49194c57f77d,tutelage,studied_under,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_KHDAR_MHMD,محمد الخضار,Mohamed El Khadhar,Muhammad al-Khaddar,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,الحصول على تقدير أساتذته أمثال الشيخ محمد الخضار
ED_69dd22fadcc295519fbe,tutelage,studied_under,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_NYFR_MHMD,محمد النيفر,Mohamed En-Nifer,Muhammad al-Nayfar,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,النيفر والشيخ محمد بيرم، دون أن ننسى آخرهم عهداً
ED_e4249bdd4f703a88ee34,tutelage,studied_under,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_QABADW_MHMWD,محمود قابادو,Mahmoud Kabadou,Mahmud Qabadu,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,ألا وهو الشيخ محمود قابادو الذي استحكمت بينه وبين مترجمنا أسباب المودة
ED_a5aeecfbcb4aff39a6e0,tutelage,studied_under,PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,PERSON_RYAHY_ABRAHYM,إبراهيم الرياحي,Ibrahim Riahi,Ibrahim al-Riyahi,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.06,والشيخ إبراهيم الرياحي والشيخ محمد النيفر
ED_663c1ca2c7284f4e610f,tutelage,taught_at,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,ASSOC_JMYH_KHLDWNYH,الجمعية الخلدونية,La Khaldounia,al-Khalduniyya,association,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,كل جهوده بحماس متجدّد.ء سوا، كأستاذ أو كمحاضر أو كرئيس
ED_a6c1bfd4bf06f361e6bc,tutelage,studied_at,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,MSQ_JAM_ZYTWNH,جامع الزيتونة,Jamaa Ez-Zitouna,Jami al-Zaytuna,mosque,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,أو في جامع الريتونة الذي كان يتردد على بعض ذروسه
ED_927ffd810b30deb86e0a,tutelage,taught,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,PERSON_BWRQYBH_HBYB,الحبيب بورقيبة,Habib Bourguiba,al-Habib Burquiba,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,تلك الدروس التي ما زال يتذكرها كل الذين أسعفهم الحظ بمتابعتها وفي مقدمتهم التلميذ الشاب الحبيب بورقيبة
ED_9ad787cd86db5abace10,tutelage,taught_at,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,SCH_MDRSH_LYA_LLGHH_WALADAB_RBYH,المدرسة العليا للغة والآداب العربية,École supérieure de langue et de littérature arabes,al-Madrasa al-Ulya lil-Lugha wa al-Adab al-Arabiyya,school,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,دُعيَ إلى التدريس على التوالي بالمدرسة العليا للغة والآداب العربية
ED_625a0cf1ec042802cbcd,tutelage,taught_at,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,SCH_MDRSH_SADQYH,المدرسة الصادقية,Collège Sadiki,al-Madrasa al-Sadiqiyya,school,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,بالمدرسة العليا للغة والآداب العربية وبالمدرسة الصادقية
ED_9cba1e38073d1a68ebd4,tutelage,studied_at,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,SCH_MDRSH_SADQYH,المدرسة الصادقية,Collège Sadiki,al-Madrasa al-Sadiqiyya,school,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,ولقد لفت إليه الأنظار سوا، في المدرسة الصادقية أو في جامع
ED_ec521d5b12f51f6536e5,tutelage,studied_at,PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,SCH_MHD_THANWY_BBARYS,المعهد الثانوي بباريس,lycée de Paris,al-Mahad al-Thanawi bi-Baris,school,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.07,بين المعهد الثانوي ومكتبات العاصمة الفرنسية، ليثري فكره
ED_65f1052c873e9c3e845d,tutelage,taught_at,PERSON_BDH_MHMD,محمد عبده,Mohamed Abdou,Muhammad Abduh,ASSOC_JMYH_KHLDWNYH,الجمعية الخلدونية,La Khaldounia,al-Khalduniyya,association,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.03,وقد ألقى على منبر الخلدونية محاضرة بليغة
ED_35949712cb3b692914c4,tutelage,taught_at,PERSON_BDH_MHMD,محمد عبده,Mohamed Abdou,Muhammad Abduh,ASSOC_JMYH_KHLDWNYH,الجمعية الخلدونية,La Khaldounia,al-Khalduniyya,association,,1903,1903-01-01,1903-12-31,year,book_stated,llm,aalam-model-v1,0.80,aalam:2.08,وهناك أيضاً ألقى المغفور له الشيخ محمد عبده
ED_8ff315338e8cf1b3921a,tutelage,studied_under,PERSON_BDH_MHMD,محمد عبده,Mohamed Abdou,Muhammad Abduh,PERSON_AFGHANY_JMAL_DYN,جمال الدين الأفغاني,Jamaleddine El Afghani,Jamal al-Din al-Afghani,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.08,تحت تأثير جمال الدين الأفغاني وتلميذه الشيخ محمد عبدهع
ED_5781d37dae0ee5411c1e,tutelage,taught_at,PERSON_BDWHAB_HSN_HSNY,حسن حسني عبد الوهاب,Hassan Hosni Abdelwahab,Hasan Husni Abd al-Wahhab,ASSOC_JMYH_KHLDWNYH,الجمعية الخلدونية,La Khaldounia,al-Khalduniyya,association,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.08,وقد عَهِدَ بها لأول مرّة إلى الأستاذ حسن حسني عبد الوهاب
ED_494005d53813159df576,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_ABRAHYM_HAFZ,حافظ إبراهيم,Hafez Ibrahim,Hafiz Ibrahim,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,وخليل مطران وحافظ إبراهيم. وعلى وجه الخصوص الشاعر التونسي
ED_6de7b93ae4acd6c58389,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_ABYTMAM,أبو تمام,Abou Tammam,Abu Tammam,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,"والشريف الرضي وأبا تمام والمعري
والمتنبى وابن رومي"
ED_773951a8438e49711811,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_ASHRY,الأشعري,El Achari,al-Ashari,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,"من أمثال الأشعري وابن
سينا والزمخشري والغزالي وابن رشد، قد استأئروا بعنايته"
ED_65848a8795385c43e309,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_BNRSHD,ابن رشد,Ibn Rochd,Ibn Rushd,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,والزمخشري والغزالي وابن رشد، قد استأئروا بعنايته
ED_9eabe026d7a6af135479,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_BNRWMY,ابن الرومي,Ibn er-Roumi,Ibn al-Rumi,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,وابن رومي، يضاف إليهم من المحدثين أحمد تيمور
ED_2a78820cef3aad1c2d3d,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_BNSYNA,ابن سينا,Ibn Sina,Ibn Sina,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,"من أمثال الأشعري وابن
سينا والزمخشري والغزالي وابن رشد، قد استأئروا بعنايته"
ED_53254aa071cf15e86b43,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_FRZDQ,الفرزدق,El Farazdak,al-Farazdaq,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,نذكر على سبيل المثال، الفرزدق والشريف الرضي وأبا تمام والمعري
ED_5a07dab8cc0d293fa9f4,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_GHZALY,الغزالي,El Ghazali,al-Ghazali,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,لا سيما منهم الغزالي
ED_1c85f814068e41bd0720,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_KHYAM_MR,عمر الخيام,Omar Khayyam,Umar al-Khayyam,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,في آثار السعدي وعمر الخيام المعربة
ED_e858d83b960bff8a9ad1,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_MRY_ABYLA,أبو العلاء المعري,Abou El Ala El Maarri,Abu al-Ala al-Maarri,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,"وأبا تمام والمعري
والمتنبى وابن رومي"
ED_f8cc23c0e50fa8790310,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_MTNBY,المتنبي,El Moutanabbi,al-Mutanabbi,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,والمتنبى وابن رومي، يضاف إليهم من المحدثين
ED_b17b0a9970759d8697ce,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_MTRAN_KHLYL,خليل مطران,Khalil Moutran,Khalil Mutran,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,"والرصافي
وخليل مطران وحافظ إبراهيم"
ED_700e8f5d1660a0b383cb,tutelage,studied_under,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_QABADW_MHMWD,محمود قابادو,Mahmoud Kabadou,Mahmud Qabadu,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,"وعلى وجه الخصوص الشاعر التونسي محمود
قابادو، الذي استهواه نظمه البديع"
ED_3758cdccff7402f420a5,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_RDY_SHRYF,الشريف الرضي,Chérif Er Radhi,al-Sharif al-Radi,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,الفرزدق والشريف الرضي وأبا تمام والمعري
ED_f6bc2e644741076e0199,tutelage,read_work_of,PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,PERSON_RSAFY_MRWF,معروف الرصافي,Maarouf Er-Rassafi,Maruf al-Rusafi,person,,,,,none,book_stated,llm,aalam-model-v1,0.80,aalam:2.12,"أحمد تيمور والرصافي
وخليل مطران وحافظ إبراهيم"
