cohort,cohort_no,entry_no,name_ar,folio_start,source
السابقون,1,1,عزيزة عثمانة,25,toc
السابقون,1,2,يوسف صاحب الطابع,33,toc
السابقون,1,3,إبراهيم الرياحي,49,toc
السابقون,1,4,أحمد بن حسين,57,toc
السابقون,1,5,محمود قابادو,63,toc
السابقون,1,6,أحمد بن أبي الضياف,71,toc
السابقون,1,7,الجنرال حسين,79,toc
السابقون,1,8,محمد بيرم الخامس,87,toc
السابقون,1,9,الجنرال خير الدين,97,toc
التابعون,2,1,علي الورداني,113,toc
التابعون,2,2,البشير صفر,121,toc
التابعون,2,3,علي بوشوشة,133,toc
التابعون,2,4,علي باش حانبة,141,toc
التابعون,2,5,محمد باي خير الدين,159,toc
التابعون,2,6,سالم بو حاجب,169,toc
التابعون,2,7,محمد الأصرم,177,toc
التابعون,2,8,أحمد الغطاس,187,toc
التابعون,2,9,طاهر باشا خير الدين,193,toc
التابعون,2,10,محمد بن الخوجة,225,toc
التابعون,2,11,مصطفى آغة,237,toc
التابعون,2,12,عبد السلام البكوش,243,toc
التابعون,2,13,عبد الجليل الزاوش,253,toc
التابعون,2,14,رشيد بن مصطفى,271,toc
التابعون,2,15,الصادق التلاتلي,277,toc
المعاصرون,3,1,الطيب رضوان,287,toc
المعاصرون,3,2,محمد بورقيبة,295,toc
المعاصرون,3,3,حسونة العياشي,301,toc
المعاصرون,3,4,محمد السعيد الخلصي,307,toc
المعاصرون,3,5,خير الله بن مصطفى,319,toc
المعاصرون,3,6,علي بو حاجب,327,toc
المعاصرون,3,7,حسن ڤلاتي,333,toc
المعاصرون,3,8,زين العابدين السنوسي,341,toc
المعاصرون,3,9,الشاذلي خير الله,345,toc
المعاصرون,3,10,محمد الفاضل بن عاشور,349,toc
المعاصرون,3,11,محمود الماطري,355,toc
المعاصرون,3,12,محمد الطاهر بن عاشور,361,toc
المعاصرون,3,13,الطاهر الخميري,369,toc
المعاصرون,3,14,محمد الأمين الشابي,373,toc
