id_type,value_normalised,n_jort_orgs,jort_labels
matricule_fiscal,1002390W,1,Sté PADELA (SARL)
matricule_fiscal,1002455L,1,RAYAN ALL DISTRIBUTION
matricule_fiscal,1002458L,1,DIRECT USINE
matricule_fiscal,1002458Z,1,Société ILYES GLASS/PLAST
matricule_fiscal,1002465Y,1,Société Tunisienne des Travaux et Equipement - SARL
matricule_fiscal,1002525S,1,SARL capital 1200 DT
matricule_fiscal,1002592E,1,OBIKA
matricule_fiscal,10026661F,1,SOVENA MENA COMPANY
matricule_fiscal,1002679L,1,SOCIETE PROTECH - SARL
matricule_fiscal,1002709Z,1,Nom : DI ANDREA
matricule_fiscal,1002713Y,1,GL TRADE TUNISIA - SARL
matricule_fiscal,1002815A,0,
matricule_fiscal,1002855J,1,Agence Bureautique Service Plus
matricule_fiscal,1002874M,1,I
matricule_fiscal,100287P,1,Et nomination d'un nouveau Président du Conseil
matricule_fiscal,1003026G,2,Société : SOLAR TECHNOLOGY | Société : Solar Technology Soltech
matricule_fiscal,1003113E,1,Société Achref Services Nettoyage et Gardiennage
matricule_fiscal,1003133J,1,Société Fagioli Tunisie SARL
matricule_fiscal,10031351A,1,Société MEDITERRANEE SPA
matricule_fiscal,1003266X,2,STAMEN | STAMEN S.A.R.L
matricule_fiscal,1003332P,1,Société Chimica Plus
matricule_fiscal,1003451W,4,Société MH DISTRIBUTIONS | Société MH Distribution | Société MH Distributions
matricule_fiscal,1003502P,2,Société MODASQUARE SARL | Société Moda Square
matricule_fiscal,1003554C,1,ACHRAF INFO
matricule_fiscal,1003618B,1,Société Panta Services - SUARL
matricule_fiscal,1003702W,1,Société STIE
matricule_fiscal,1003727F,1,SOCIETE DIAMOND
matricule_fiscal,1003759P,4,ACM-SARL | Société Ateliers de Confection Maille ACM» SARL | la société ACM
matricule_fiscal,1003767P,2,Société de Confection Maille S.C.M» SARL | Société de Confection Maille SCM» SARL
matricule_fiscal,1003772L,1,Société comptoir méditerranée de commerce
matricule_fiscal,1003815E,3,STE DE GARDENAGE ROYAL | STE DE GARDIENAGE ROYAL | Société de Gardiennage Royal S.A.R.L
matricule_fiscal,1003835J,1,Delta Electromécanique - SARL
matricule_fiscal,1003878W,1,Société RAINBOW - Tunisie
matricule_fiscal,1004075W,1,Société CORAIL EUROPE - SARL
matricule_fiscal,1004208Q,3,Société AZUR COLORS | Société Azur Colors | la société Azur Colors
matricule_fiscal,1004215P,4,E.M.C | Société ETTAAMIR DE MATERIAUX DE CONSTRUCTION | Société Ettaamir SARL
matricule_fiscal,1004278F,1,Société FTR Consulting - SUARL
matricule_fiscal,1004400N,1,PF CONSEIL
matricule_fiscal,1004441A,1,Société Comptoir Commercial de Papier - SARL
matricule_fiscal,1004470D,2,Société Mounab Expo | Société Mounab Expo» Sarl
matricule_fiscal,100448S,1,Tunisie Concept Distribution
matricule_fiscal,1004653J,1,Société Aziz des Poissons
matricule_fiscal,10046591Q,1,SMARTECH MOTIONS SARL
matricule_fiscal,1004752L,3,Société l'Élégance de Confection de Vêtements Professionnels Prestige | Sté L'ELEGANCE DE CONFECTION DE VETEMENT PROFESSIONNEL PRESTIGE | Sté l'Elégance de confection de vêtement professionnel prestige
matricule_fiscal,1004760L,1,Société NORASCOM
matricule_fiscal,1004775T,2,Société M'N INTERNATIONAL TRADE SARL | Société M'N International Trade
matricule_fiscal,1004797A,1,Société Camarymco et Négoce
matricule_fiscal,1004816K,0,
matricule_fiscal,1004870R,1,Société SAID TELE SERVICES SARL
matricule_fiscal,100491L,1,Société Africa Transit
matricule_fiscal,100492N,1,Société LORO CONFECTION
matricule_fiscal,1004987E,0,
matricule_fiscal,1004994D,1,Société STEDEC - TUNIETUD
matricule_fiscal,1005164A,2,Société Al Amel de Commerce | Transformation d'une SUARL en une SARL
matricule_fiscal,1005184E,1,Société GEXXI Ascenseurs Tunisie
matricule_fiscal,1005193F,1,Société SOFRAT.DTM
matricule_fiscal,10052308R,1,Société Tunisienne Environnement Recyclage et Services STERS
matricule_fiscal,1005230S,4,SOCIETE TAHA ENVIRONNEMENT RECYCLAGE & SERVICES STERS | Société Taha Environnement Recyclage & Services | Société Taha Environnement Recyclage et Services STERS
matricule_fiscal,1005280D,1,Société APTERA International
matricule_fiscal,1005351B,1,Personne physique
matricule_fiscal,1005413Y,2,Solution Electroniques et Informatiques S | Sté Solutions Electroniques et Informatique SEI» Sarl
matricule_fiscal,1005450D,2,Société Maison brico SARL | Sté BRICO
matricule_fiscal,1005460D,0,
matricule_fiscal,10056316S,1,Alpha Trading International SARL
matricule_fiscal,1005643L,1,THE BIG HOUSE
matricule_fiscal,1005653N,1,Société DOT NET INFORMATIQUE
matricule_fiscal,1005758X,2,Société Neila Textile - SARL | Société Neila Textile SARL
matricule_fiscal,1005785A,1,Cité Jardins 2 - Bloc B. 6ème Etage - Tunis
matricule_fiscal,1005827S,2,Société BEST NEW CO | Sté BEST NEW CO
matricule_fiscal,1005869D,1,W
matricule_fiscal,1005970Z,1,Société SBM
matricule_fiscal,1005990D,2,MA.VO.TO | MAVOTO
matricule_fiscal,1006023R,1,Clôture de liquidation
matricule_fiscal,1006050V,3,C2. Numérique | Société C2 NUMERIQUE SARL | Société C2 Numérique
matricule_fiscal,1006162C,1,Société Computer Telecom Services
matricule_fiscal,1006199R,3,Société CONFECTION INDUSTRIELLE DU SAHEL C.I.S» SARL | Société Confection Industrielle Du Sahel C.I.S » SARL | Société Confection Industrielle du Sahel C.I.S» SARL
matricule_fiscal,10062242Z,2,Société D | Société D.V SCUBA Tunisie
matricule_fiscal,1006280H,1,Option Canada
matricule_fiscal,100636H,1,SMVDA- Sidi Salem Ghzala
matricule_fiscal,1006371K,1,Société Sports Loisirs Management
matricule_fiscal,1006422D,1,Société SAGECOM
matricule_fiscal,1006536N,2,Société Malek Rent A Car SARL | Sté Malek Rent A Car
matricule_fiscal,1006541K,1,Afrique Matériaux
matricule_fiscal,1006728V,1,SOCIETE DE CONSTRUCTION INDUSTRIELLE ET DE MAINTENANCE DES USINES
matricule_fiscal,1006750R,1,Société HIBA des travaux énergétiques plomberie et forage
matricule_fiscal,1006766B,1,Société BOSH CAR SERVICE SOUKRA BCSS
matricule_fiscal,1006816T,1,Société G Q SERVICES
matricule_fiscal,1006826W,4,Monsieur Mazzone Fabrizio démissionne de ses fonctions de gérant | TRIS TUNISIA SARL | TRIS Tunisia SARL
matricule_fiscal,1006874E,2,CMS | Comptoir Mediterranean de Semelles et Accessoires
matricule_fiscal,1006889M,1,Société Comptoir Décor
matricule_fiscal,1006899P,3,Société RADIOPHONIQUE ZITOUNA | Société Radiophonique Zitouna | Société Radiophonique Zitouna - SARL
matricule_fiscal,1007010Q,2,Société AMAL EQUIPEMENTS | Société Amal Equipements
matricule_fiscal,1007084K,1,SOFKIM & LOVERS Ltd » SARL
matricule_fiscal,1007175M,1,L'artisanale export
matricule_fiscal,1007185P,1,PRODWARE Tunisie -SARL
matricule_fiscal,10072682R,1,Sté BROADWAY S.A.R.L
matricule_fiscal,1007333H,3,Ste Huilerie Bel Hadj Amor S.A.R.L | Sté Huilerie Bel Hadj Amor | Sté Huilerie Bel Hadj Amor SARL
matricule_fiscal,1007368V,1,Société Moto Evasion Tunisie » SARL
matricule_fiscal,1007370N,2,Société D E C A» SARL | Société DECA » SARL
matricule_fiscal,1007389A,1,SOCIETE MELODY-TELECOM
matricule_fiscal,1007453Q,2,Société HUILERIE SAHNOUN | Société Huilerie Sahnoun
matricule_fiscal,100759Y,1,1) Nomination de : monsieur Kobaa Mounir gérant de la société avec le pouvoir de signature
matricule_fiscal,1007649B,1,ALEX & COMPAGNIES
matricule_fiscal,1007724V,1,Tunisie Resa
matricule_fiscal,1007851B,1,Clôture liquidation de la société ALMV SARL
matricule_fiscal,10078640G,1,Société D & L Group
matricule_fiscal,1007929G,1,et la nomination Mr Denis Lorenzati en tant que liquidateur a
matricule_fiscal,100797H,1,Sbeitla 1250
matricule_fiscal,1008000S,2,1- Changement du nom de la société AGGOTECH par AGROTRADE | 2- Acceptation de la démission du gérant Mr Yassine GOUIAA
matricule_fiscal,1008189Y,2,Société Massilia Etanchette Services | Sté Massilia Etanchéite Services SUARL
matricule_fiscal,10082792R,1,SATER
matricule_fiscal,10082971B,1,Personne physique
matricule_fiscal,1008340L,5,TUNISIAN TEXTILE TRADING 3T | Tunisian Textile Trading 3.T » - SARL | Tunisian Textile Trading 3T » - SARL
matricule_fiscal,1008399G,1,Société Sahbi Travel
matricule_fiscal,1008706X,3,ASTERIAS - S.A.R.L | ASTERIAS - SARL | ASTERIAS S.A.R.L
matricule_fiscal,1008719C,1,Sté de conseil en recouvrement
matricule_fiscal,1008727C,1,Société HAFEDH
matricule_fiscal,10088616P,1,Société VISIOM TUNISIE SARL de capital 7000 Dinars Tunisien
matricule_fiscal,1008912B,1,Société SOJEMO SHOES
matricule_fiscal,1009000X,2,Scin Informatique | Société SCIN Informatique
matricule_fiscal,1009069V,2,Société Bati Group | Société Bâti Group
matricule_fiscal,1009156S,1,Société Méditerranéenne de pâtisserie - SARL
matricule_fiscal,1009197C,4,MED BUSINESS HOLDING | Med BUSINESS HOLDING SA | Société Med Business Holding
matricule_fiscal,1009213J,1,Société UNIVERRE
matricule_fiscal,1009214K,1,Société YIDIRIM CONSEIL
matricule_fiscal,1009240N,1,Société Mettalle Structure Manufactory MSM
matricule_fiscal,1009241N,1,DAY JUR SUARL
matricule_fiscal,1009347I,1,Sté DENIM Tendance
matricule_fiscal,1009347Y,1,Cabinet Hassen REBAI
matricule_fiscal,1009488L,1,ROYAL à responsabilité limitée
matricule_fiscal,1009500N,1,Société PAN MED INTERNATIONAL GENERAL TRADING TUNISIE
matricule_fiscal,1009514V,4,Plastic Components Tunisia -SARL | e-Focus - SARL | e-Focus -SARL
matricule_fiscal,1009532X,1,Société Maisons et Objets
matricule_fiscal,1009541Y,2,Société KOUNAIZA | Société Kounaiza
matricule_fiscal,1009657K,1,SOCIETE GOLDEN
matricule_fiscal,1009773N,1,R C : B0444102007
matricule_fiscal,1009813D,2,International Consultants And Auditors ICA | Société International Consultants and Auditors ICA» SARL
matricule_fiscal,1009821D,2,Sté TECHNO PROGET | TECHNO PROGET
matricule_fiscal,1009856Q,1,Société Horizons Consulting Conseils
matricule_fiscal,1009944P,1,ALLIANCE INFORMATIQUE SARL
matricule_fiscal,1009945Q,2,STDC-SARL | Société Tunisie Détergents et Cosmétiques
matricule_fiscal,1009971S,4,Sté Neapolis Trading - SARL | Sté SOLIINTERCOM | Sté SOLIINTERCOM SUARL
matricule_fiscal,1009983X,1,Société des Entreprises Kessentini d'Electricité
matricule_fiscal,1010032X,1,Maghreb Séminaires
matricule_fiscal,1010042Z,3,Premier Textile Service SARL | Premier textile service | de dissoudre la société par anticipation
matricule_fiscal,1010073G,2,Et transformation de la forme de la société | WORLD WIDE CONSULTING WWC
matricule_fiscal,1010083J,2,TEKNO MAGHREB | Tekno Maghreb
matricule_fiscal,1010122Y,1,SOCIETE Hédi Ben AYED Immobilière HBA Immobilière
matricule_fiscal,1010126Y,1,Société MC-SL GROUP
matricule_fiscal,10101931A,1,Société Chlorine Derivatives Industry SA
matricule_fiscal,1010194Q,1,lycée privé de formation professionnel
matricule_fiscal,10102228S,1,MED SARL
matricule_fiscal,1010222B,2,MED SARL | MEDSARL
matricule_fiscal,101025H,1,Réalisation de l'augmentation du capital
matricule_fiscal,1010275Q,1,LGVM Sarl
matricule_fiscal,1010291Q,2,Société OC- CUBE Services | Sté OC. CUBE SERVICES
matricule_fiscal,1010302A,1,Société Instant Café
matricule_fiscal,1010336L,1,Magique Confort
matricule_fiscal,1010412F,1,Société Design Of Garments
matricule_fiscal,1010504J,5,Blue et DYE - SARL | SOCIETE BLUE & DYE | Sté BLUE & DYE - SARL
matricule_fiscal,1010542Q,1,Ratifier les états financiers de la société pour les années 2007 et 2008
matricule_fiscal,1010544S,1,Société Africa de Commerce International ACI
matricule_fiscal,1010602K,2,De dissoudre la société par anticipation | FIT MADE
matricule_fiscal,1010603L,2,Horizon Développement Informatique | Société Horizon Développement Informatique H.D.I
matricule_fiscal,1010604M,1,DREAMSAF
matricule_fiscal,1010605N,2,SOCIETE SAHEL DE PLASTIQUE SARL | Sté Sahel de Plastique
matricule_fiscal,101060P,1,Sté GOLOGIKE TUNISIE SARL
matricule_fiscal,1010737A,1,Khemaissa Tex Mdhila SA
matricule_fiscal,1010744Z,1,Société ONE CLIC
matricule_fiscal,1010827B,1,Société G & G NETWORK SERVICE SARL
matricule_fiscal,1010905V,1,Société TOMATEM
matricule_fiscal,1010908B,4,La Quatrième Saison Tunisienne - SARL (QST) | Mettre à jour les statuts de la société | QUATRIÈME SAISON TUNISIENNE SARL
matricule_fiscal,1010958M,5,Et mise à jour des statuts | MAGHREB CONSULTING AND INVESTMENT MCI | Maghreb Consulting And Investment MCI
matricule_fiscal,1011082M,1,Société Blel Haythem Assurances BHA - SUARL
matricule_fiscal,1011100W,1,Consulting informatique SARL
matricule_fiscal,1011101X,1,Entreprise Nouvelle d'Alimentation en abrégé ENAL
matricule_fiscal,10111341G,1,KARIMATEX
matricule_fiscal,10111493D,1,Société Olivia Distribution
matricule_fiscal,1011223G,1,Société de Prestation de Services et Design
matricule_fiscal,1011228M,1,Société de Loisirs AZIZ SLAZ
matricule_fiscal,1011256R,1,"Rue Mohamed Rached El Béji, Imm Tej Ennasr"
matricule_fiscal,1011259V,1,Zarrouk Moez Zarrouk D'Impression et Edition
matricule_fiscal,1011270P,2,Société PROTEX TUNISIE | Sté Protex Tunisie
matricule_fiscal,1011276W,2,Société TARGET COMMUNICATION | Société Target Communication
matricule_fiscal,1011295Z,2,Société Tunisie Pneu SARL | Sté Tunisie Pneus
matricule_fiscal,1011384Z,2,Société HAY-TEX SARL | Société Hay-Tex
matricule_fiscal,1011430M,1,Société PERFECT
matricule_fiscal,101143J,1,Société de Promotion Touristique Dar El Marsa
matricule_fiscal,101145R,1,Société City Women
matricule_fiscal,1011480R,1,Société Civile Agricole ZITA
matricule_fiscal,1011480Y,3,La société Civile Agricole ZITA | Slama fruits et Légumes | Société Civile Agricole ZITA
matricule_fiscal,1011542V,1,SOCIETE PIERRE ET ROCHET
matricule_fiscal,1011572B,2,Société Jouini's Business | Société Jouini's Business Company
matricule_fiscal,1011589L,1,MULTICOQUES PERFORMANCE
matricule_fiscal,1011623V,1,Aurone
matricule_fiscal,1011773M,2,Société Meubles Ben Maâlem (M | Société OSKA Ceramics
matricule_fiscal,1011825D,1,Société Errahma de Commerce
matricule_fiscal,1011841D,4,Société Bureautique et Informatique SARL | Société Bureautique et informatique | Société de bureautique informatique SBI
matricule_fiscal,1011899S,2,Société Predicti Tunisia | Société Predictix Tunisia
matricule_fiscal,1011914D,1,Société La Marine SARL
matricule_fiscal,101197M,1,SOCIETE D'EXPORTATION TEXTILE + SET +
matricule_fiscal,1011996Y,1,Société Espace des Métaux
matricule_fiscal,1012137P,1,BIG COMPANY
matricule_fiscal,1012151M,1,Sté Sousse Conditionnement - Ouerd Laarouk 4022 Akouda
matricule_fiscal,1012245S,2,Société TAPE à l'œil | TAPE L'OEIL
matricule_fiscal,1012349A,1,Société Moderne de Retapage - SARL
matricule_fiscal,1012434W,1,Sté Alliance Travel Services - S.A.R.L
matricule_fiscal,1012467F,4,A. P. I. P | A.P.I.P (En Liquidation) | Société APIP SARL
matricule_fiscal,1012530V,1,HI DAR s.a.r.l
matricule_fiscal,1012563K,1,Sté GOLTEX SOUSSE - SARL
matricule_fiscal,1012568K,1,Société Best Trade Company SARL BTC
matricule_fiscal,10126258B,1,Société tunisienne d'agricole et industrie- SOTAGRI
matricule_fiscal,1012637F,1,Société Le Soleil - SARL
matricule_fiscal,1012654G,4,KROMBERG & SCHUBERT TUNISIE SARL | KROMBERG & SHUBERT TUNISIE SARL | Kromberg & Shubert Tunisie SARL
matricule_fiscal,1012669P,2,ITANCIA DISTRIBUTION | Sté. Itancia Distribution
matricule_fiscal,1012737J,1,Société AS TEXTILE
matricule_fiscal,1012853M,1,Société JEGURTA SUARL
matricule_fiscal,1012914H,2,Société BEAUTY CAR | Société Beauty Car
matricule_fiscal,1012932K,1,STE TEIT
matricule_fiscal,1012963S,3,Appt. n° 1 Rez-de-chaussée | BCI SARL décident de nommer Monsieur Foued Ben Hassine Zouari | De nommer un gérant et un directeur technique pour la société
matricule_fiscal,1012989D,2,SICERAM SUD | Sté Mabrouk Céramique
matricule_fiscal,1013076Y,1,MOSFA SARL
matricule_fiscal,1013079H,1,S
matricule_fiscal,1013155W,1,Société F.C.T SARL
matricule_fiscal,1013192B,1,SOCIETE CARLIPA SYSTEMS
matricule_fiscal,101319B,1,Société CARLIPA
matricule_fiscal,1013229X,1,Expédition Suarl
matricule_fiscal,101325Z,1,Société Global Transport & Service
matricule_fiscal,1013278G,1,National des Entreprises : 1013278G
matricule_fiscal,1013282C,1,Société HORIZON SERVICES Automobile
matricule_fiscal,10133341X,1,Network Software Technologie-N.S.T
matricule_fiscal,1013435B,1,Société SAMA immobilière dissolution
matricule_fiscal,1013444C,1,Sté TOUTINOX PLUS
matricule_fiscal,1013503W,1,Sté H T S NEGOCE
matricule_fiscal,1013513Y,1,Société WEST FOODS
matricule_fiscal,1013539J,2,L'objet de la société devient confection de toutes sortes de vêtements | Société EL HOUDA SMD
matricule_fiscal,1013556K,4,SEWON ECS TUNISIA SARL | Société Yura Corporation Tunisia - SARL | Société Yura Corporation Tunisia SARL
matricule_fiscal,1013576P,2,Société Textiles Services S.U.A.R.L | TEXTILE SERVICES S.U.A.R.L
matricule_fiscal,101363D,1,Société SOGESEM
matricule_fiscal,1013655M,1,IMPES SERVICES SPA TUNISIA BRANCH
matricule_fiscal,1013667R,1,Société les carrières du Cap Bon SARL
matricule_fiscal,101366L,1,Société Institut Supérieur Privé des Sciences Infirmières
matricule_fiscal,1013671M,1,Sté BABY STAR » SUARL
matricule_fiscal,1013734K,1,Société Afrique Commerciale
matricule_fiscal,1013832L,1,Agence Immobilière L'Avenir
matricule_fiscal,1013850W,1,Société BLUE STAR SARL
matricule_fiscal,1013941Q,1,Société la Force de Demain
matricule_fiscal,1014029V,1,Mr Mohamed Hédi Aissa comme gérant à la place de Néjib Rouissi
matricule_fiscal,1014047X,2,Société PIERRES DE LUNE | Société Pierres de Lune
matricule_fiscal,1014087F,1,R B S
matricule_fiscal,1014094F,1,Société Tourism Service Club
matricule_fiscal,1014268E,1,Société Briqueterie du Sahel
matricule_fiscal,1014268R,1,Société Briqueterie du Sahel
matricule_fiscal,1014303T,1,Société SOLEIL SERVICES
matricule_fiscal,1014364H,1,GP 3 Klm 81 El Fahs
matricule_fiscal,101437S,1,Société MIMA-TEX
matricule_fiscal,1014382K,5,Jacques Bruynooghe Global (J | Jacques Bruynooghe Global S.A.R.L | Jacques Bruynoooghe Global (J.B.G)
matricule_fiscal,1014382M,1,Jacques Bruynooghe Global (J.B.G)
matricule_fiscal,1014436G,1,Sté Lungo Call Center Sarl
matricule_fiscal,1014439K,1,STE TETRAS NEGOCE
matricule_fiscal,1014585V,1,Sté Tout Pour Fiat
matricule_fiscal,10145892S,1,Société DIAR FAWANISSE
matricule_fiscal,1014623H,2,KAYOKIDS SARL | Société KAYOKIDS SARL
matricule_fiscal,1014645P,4,ACOR Tunisie | Société ACOR TUNISIE | Société Acor Tunisie SARL
matricule_fiscal,1014659W,1,SOCIETE VANHUYSSE TUNISIE SARL
matricule_fiscal,1014690V,1,Société LAVOMATIK
matricule_fiscal,1014699E,1,"En conséquence, l'article 14 des statuts a été modifié"
matricule_fiscal,1014705J,1,Société Comptoir Ghaddab de Bâtiment Distribution
matricule_fiscal,1014750P,1,Société Immobilière Marrakech
matricule_fiscal,1014821M,2,Gold Rent Car | Société GOLD RENT A CAR
matricule_fiscal,1014883S,1,GCI Mona Fashion
matricule_fiscal,1014895G,1,Carthagena Trading
matricule_fiscal,1014897J,1,Société MIMATEX
matricule_fiscal,101489J,1,Société Mi-Ma-Tex
matricule_fiscal,1014920P,1,Société Méditerranéenne des Filets de Pêches
matricule_fiscal,1014924T,2,Société SEA WAYS | Société Sea Ways
matricule_fiscal,1015124X,1,Réalisation de l'augmentation de capital et modification des statuts
matricule_fiscal,1015126Z,4,Société Tunisienne de Commerce et services | Société des Travaux Public et Services | Société des Travaux public et Services
matricule_fiscal,1015147G,1,Société marketing and media» SARL
matricule_fiscal,1015160B,1,PROMAGRO
matricule_fiscal,1015178M,1,SOCIETE WAJIH BROD
matricule_fiscal,1015187N,2,Bois du Lac | Bois du Lac SARL
matricule_fiscal,1015193L,1,Sté AGRI-SICILIA - SARL
matricule_fiscal,1015194M,1,Société Trèfle Tours et Events - SARL
matricule_fiscal,1015198R,1,Société BEST VENDING SERVICES SARL
matricule_fiscal,1015236E,1,RABBIT HOME AUTOMATION
matricule_fiscal,1015264J,1,"Société Pomme SHIFT, Siège : 15, rue Habib Chrita 2080 Ariana Nord, Capital : 5"
matricule_fiscal,1015329J,1,Société Jazira Travel
matricule_fiscal,1015370K,4,De La SOCIETE INTERCABLE TUNISIE | INTERCABLE TUNISIE | Intercable Tunisie
matricule_fiscal,101543K,1,Société Fersi Métal
matricule_fiscal,1015602G,3,Société ARNO SARL | Société TUNIMEX SARL | Sté ARNO SARL
matricule_fiscal,1015680X,1,Sté S.G.C.I»- SARL
matricule_fiscal,1015692B,1,Société LBC SERVICES
matricule_fiscal,1015703L,2,Institut Des Hautes Etudes Féminines | Institut des hautes études féminines
matricule_fiscal,1015754V,1,Société Moderne de Confection
matricule_fiscal,1015774S,1,SOGEMAC SUARL
matricule_fiscal,1015810N,1,Luxe Plast
matricule_fiscal,101581O,1,Société LUXE PLAST
matricule_fiscal,1015823T,1,2ème étage Lafayette -1002 - Tunis
matricule_fiscal,1015881E,2,Société TUNBERRY SARL | TUNBERRY - S.A.R.L
matricule_fiscal,1015895L,1,Sté MARE LIBRUM S.U.A.R.L
matricule_fiscal,1015910R,1,Société Hannibal Shoes» SARL
matricule_fiscal,1015987P,1,Société Techno Palettes Chateur
matricule_fiscal,10160116B,1,Société Multitech
matricule_fiscal,1016011S,1,Société MULTITECH
matricule_fiscal,1016071F,2,SETRALIS - SARL | Setralis - sarl
matricule_fiscal,1016113Y,4,TEINTURERIE & FINISSAGE | TEINTURERIE FINISSAGE | TFM» S.A.R.L
matricule_fiscal,1016248N,1,Sté CARTHAGE EXPRESSE
matricule_fiscal,1016300Z,1,Société : TECI
matricule_fiscal,1016354P,1,Société IMEN
matricule_fiscal,1016383V,1,Société LA SIRENA
matricule_fiscal,1016454S,1,Sté EL AMEL TEXTILE SAT
matricule_fiscal,1016475Y,2,Sté SHR - SARL 73 000 DT | Sté Yassine Jaâfar Polymers
matricule_fiscal,1016535S,2,BLUE DENIM - SARL | BLUE DENIM SARL
matricule_fiscal,1016699R,1,Yasmine Téchology
matricule_fiscal,1016783H,2,ORION SARL | Société Orion Textile
matricule_fiscal,1016808V,1,Société TUNISIENNE D'ASSISTANCE INDUSTRIELLE SURL
matricule_fiscal,1016815Y,1,Société Soudure des Pompes
matricule_fiscal,1016910J,1,Geste SA
matricule_fiscal,1016964L,1,Société Royale Watt Maison d'Entreprise S
matricule_fiscal,1016983I,1,Extrem Distribution
matricule_fiscal,101704D,1,PREMIUM TRAVEL SERVICE -PTS
matricule_fiscal,1017096V,1,Société Platinum Rent a Car
matricule_fiscal,1017145L,1,Société méditerranéenne d'assistance SARL
matricule_fiscal,1017146N,1,Société REDPEPERS SARL
matricule_fiscal,1017289C,1,Société Perfect Service SUARL
matricule_fiscal,1017293H,0,
matricule_fiscal,1017293X,1,Sacem Industries
matricule_fiscal,1017297H,1,"Avenue 7 Novembre, route de la plage - 8020 - Soliman"
matricule_fiscal,1017308M,1,Moda
matricule_fiscal,1017324M,1,Société ARLHIPAY - SARL
matricule_fiscal,1017328R,1,Société CENTRAL PARC AUTO SARL
matricule_fiscal,1017361W,1,Société BADR COM » SARL
matricule_fiscal,101736S,1,Société Vision SARL
matricule_fiscal,1017531S,1,Société de Promotion Immobilière AMEKEN
matricule_fiscal,1017570A,2,Société Néjib Abdelkafi de Commerce | Société Néjib Abdelkafi de Commerce SONAAB
matricule_fiscal,1017628B,3,INGENEERING SERVICES INTERNATIONAL I.S.I | INGENEERING SERVICES INTERNATIONAL ISI | Ingeneering services international ISI
matricule_fiscal,1017636B,1,Sté El Yousr Bâtiment Général SARL
matricule_fiscal,1017713X,2,Acceptation de la démission du gérant et nomination de remplaçant SOCIETE CAROUSSEL | Sté CAROUSSEL
