org_id,name_ar,name_fr,name_ijmes,gloss_tier,gloss_mode,name_translit,org_kind,n_ties,first_seen_entry
ASSOC_JMYH_ADAB,جمعية الآداب,Djemiat El Adab,Jamiyyat al-Adab,romanised,transliterated,JMY ALDAB,association,1,aalam:3.02
ASSOC_JMYH_ADAB_MSRHYH,جمعية الآداب المسرحية,Djemiat El Adab El Masrahia,Jamiyyat al-Adab al-Masrahiyya,romanised,transliterated,JMY ALDAB ALMSRHY,association,1,aalam:3.07
ASSOC_JMYH_ADAB_TMTHYLYH,جمعية الآداب التمثيلية,Djemiat El Adab Ettamthilia,Jamiyyat al-Adab al-Tamthiliyya,romanised,transliterated,JMY ALDAB ALTMTHYLY,association,1,aalam:2.11
ASSOC_JMYH_AWQAF_HRMYN_SHRYFYN,جمعية أوقاف الحرمين الشريفين,Djemiat Aouqaf El Haramain Ech-Charifain,Jamiyyat Awqaf al-Haramayn al-Sharifayn,romanised,transliterated,JMY WQAF ALHRMYN ALSHRYFYN,association,1,aalam:2.10
ASSOC_JMYH_KHLDWNYH,الجمعية الخلدونية,La Khaldounia,al-Khalduniyya,verified,transliterated,ALJMY ALKHLDWNY,association,24,aalam:2.03
ASSOC_JMYH_KHYRYH_ASLAMYH,الجمعية الخيرية الإسلامية,El Jamiya El Khairia El Islamia,al-Jamiyya al-Khayriyya al-Islamiyya,verified,transliterated,ALJMY ALKHYRY ALSLAMY,association,5,aalam:2.14
ASSOC_JMYH_NHDH_AQTSADYH,جمعية النهضة الاقتصادية,Djemiat Ennahdha El Iqtisadia,Jamiyyat al-Nahda al-Iqtisadiyya,romanised,transliterated,JMY ALNHD ALAQTSADY,association,1,aalam:3.07
ASSOC_JMYH_QDMA_SADQYH,جمعية قدماء الصادقية,Association des Anciens de Sadiki,Jamiyyat Qudama al-Sadiqiyya,verified,conventional,JMY QDMA ALSADQY,association,5,aalam:2.04
ASSOC_JMYH_TMTHYLYH_ADAB,الجمعية التمثيلية الآداب,El Jamiya Et-Tamthiliya lil-Adab,al-Jamiyya al-Tamthiliyya lil-Adab,verified,transliterated,ALJMY ALTMTHYLY ALDAB,association,3,aalam:3.06
ASSOC_NADY_MSTFY_AGHH,نادي مصطفى آغة,Nadi Mustapha Agha,Nadi Mustafa Agha,romanised,transliterated,NADY MSTF GH,association,1,aalam:3.04
ASSOC_NADY_QDMA_SADQYH,نادي قدماء الصادقية,Club des anciens élèves du Collège Sadiki,Nadi Qudama al-Sadiqiyya,romanised,conventional,NADY QDMA ALSADQY,association,1,aalam:3.04
ASSOC_NADY_TWNSY,النادي التونسي,En-Nadi Et-Tounsi,al-Nadi al-Tunsi,verified,transliterated,ALNADY ALTWNSY,association,8,aalam:2.08
COURT_MHKMH_ASTNAF_BTWNS,محكمة الاستئناف بتونس,Cour d'appel de Tunis,Mahkamat al-Istinaf bi-Tunis,romanised,conventional,MHKM ALASTNAF BTWNS,court,1,aalam:2.15
COURT_MHKMH_HRBYH,المحكمة الحربية,Tribunal de guerre,al-Mahkama al-Harbiyya,romanised,conventional,ALMHKM ALHRBY,court,1,aalam:2.09
COURT_MHKMH_JNAYH,المحكمة الجنائية,Tribunal criminel,al-Mahkama al-Jinaiyya,romanised,conventional,ALMHKM ALJNAY,court,1,aalam:2.13
COURT_MHKMH_QARYH_MKHTLTH,المحكمة العقارية المختلطة,Tribunal Mixte Immobilier,al-Mahkama al-Aqariyya al-Mukhtalata,romanised,conventional,ALMHKM ALQARY ALMKHTLT,court,2,aalam:3.08
COURT_MHKMH_SKRYH,المحكمة العسكرية,Tribunal militaire,al-Mahkama al-Askariyya,romanised,conventional,ALMHKM ALSKRY,court,2,aalam:2.09
MSQ_JAM_HLFAWYN,جامع الحلفاوين,Jamaa El Halfaouine,Jami al-Halfawin,romanised,transliterated,JAM ALHLFAWYN,mosque,1,aalam:1.03
MSQ_JAM_SAHB_TAB,جامع صاحب الطابع,Jamaa Sahib Ettabaa,Jami Sahib al-Tabi,romanised,transliterated,JAM SAHB ALTAB,mosque,2,aalam:1.02
MSQ_JAM_ZYTWNH,جامع الزيتونة,Jamaa Ez-Zitouna,Jami al-Zaytuna,verified,transliterated,JAM ALZYTWN,mosque,19,aalam:1.03
