entry_uid,cohort,cohort_no,entry_no,name_ar,name_toc,birth_year,death_year,role_descriptor_ar,rank,folio_start,folio_end,pdf_page_start,pdf_page_end,n_pages,n_chars,text_sha1,header_name_agrees,needs_review,review_note,cohort_en,role_descriptor_en
aalam:1.01,السابقون,1,1,عزيزة عثمانة,عزيزة عثمانة,1606,1669,المحسئة والمنقفة,,25,32,27,34,8,8674,25ebc6a719e0c07fae6624a6b48af71c3821fe19,yes,,,The predecessors,The benefactress and the cultivated woman
aalam:1.02,السابقون,1,2,يوسف صاحب الطابع,يوسف صاحب الطابع,1763,1815,لقد ولد يوسف صاحب الطابع بملدافيا (أو البغدان باللغة التركية) في,,33,48,35,50,16,21920,a15722d4a44d2e94b98ef47ed7196509cb50a6ae,no,yes,"header reads 'صاحب الخيرات أبو المحاسن', TOC reads 'يوسف صاحب الطابع'",The predecessors,Yusuf Sahib al-Tabi was born in Moldavia (al-Boghdan in Turkish) in ...
aalam:1.03,السابقون,1,3,إبراهيم الرياحي,إبراهيم الرياحي,1768,1850,الفقيه والرّحالة والدبلوماسى,,49,56,51,58,8,8706,bf681f13311524dda07620bf861eebff2577298a,yes,,,The predecessors,"The jurist, the traveller and the diplomat"
aalam:1.04,السابقون,1,4,أحمد بن حسين,أحمد بن حسين,1800,1868,العالم والفقيه والمربي,,57,62,59,64,6,6371,b3d421ea0ecaa4a5a225da1fbc369a31a9cdc05f,no,yes,"header reads '(1800 - 00)1868', TOC reads 'أحمد بن حسين'",The predecessors,"The scholar, the jurist and the educator"
aalam:1.05,السابقون,1,5,محمود قابادو,محمود قابادو,1812,1871,الشاعر والمتصوف والمربى,,63,70,65,72,8,11078,c038997a588d6c4d753bc1525c39cf05ed0a5a1d,yes,,,The predecessors,"The poet, the mystic and the educator"
aalam:1.06,السابقون,1,6,أحمد بن أبي الضياف,أحمد بن أبي الضياف,1804,1874,الحقوقي والمؤرخ ورجل الدولة,,71,78,73,80,8,8343,487602b381fc65581725063877d34dd9665f1fb8,yes,,,The predecessors,"The jurist, the historian and the statesman"
aalam:1.07,السابقون,1,7,الجنرال حسين,الجنرال حسين,,1887,الرجل والمواطن والدبلوماسي,,79,86,81,88,8,10760,9afbf2225a44572cd830388dde5912c6e586108d,yes,,,The predecessors,"The man, the citizen and the diplomat"
aalam:1.08,السابقون,1,8,محمد بيرم الخامس,محمد بيرم الخامس,1840,1889,المفكر والأديب والموُرّخ,,87,96,89,98,10,11292,8016938d542ca5c6f9ccbc49f9a8c6dd1359d885,yes,,,The predecessors,"The thinker, the man of letters and the historian"
aalam:1.09,السابقون,1,9,الجنرال خير الدين,الجنرال خير الدين,1822,1890,الجندي والمصلح ورجلل الدولة,,97,112,99,114,16,17557,14c0bc8fd2253c3cb9fb28fbad805d13705021b4,yes,,,The predecessors,"The soldier, the reformer and the statesman"
aalam:2.01,التابعون,2,1,علي الورداني,علي الورداني,1861,1905,الفنان والعالم والشاعر,,113,120,115,122,8,10465,64b64a4f54a4cf254f6000209c2cd8114f20527b,yes,,,The followers,"The artist, the scholar and the poet"
aalam:2.02,التابعون,2,2,البشير صفر,البشير صفر,1865,1917,المربي والموة ظف ا لكبيم,,121,132,123,134,12,14472,c848f4a554ca66e43640bc3a393b40520a3b0fa6,yes,,,The followers,The educator and the senior official
aalam:2.03,التابعون,2,3,علي بوشوشة,علي بوشوشة,1859,1917,الصحافي والمزارع,,133,140,135,142,8,9823,555a862bc7379c7af5e70d29ae4aa6927bbb83a7,yes,,,The followers,The journalist and the farmer
aalam:2.04,التابعون,2,4,علي باش حانبة,علي باش حانبة,1876,1918,أنه لمن المؤسف حمّاً أن نلاحظ ما اكتنف روّادنا السابقين من نسيان»,,141,158,143,160,18,25574,0dea51fbc5bcce9baa6837ea4be23cfbce13a2b1,yes,,,The followers,It is truly to be regretted that we observe the oblivion enveloping our predecessors ...
aalam:2.05,التابعون,2,5,محمد باي خير الدين,محمد باي خير الدين,1872,1922,المفكر والمتصوّف,,159,168,161,170,10,13042,ceb8d387799feb64d91ab0798134f17023f7d5bd,no,yes,"header reads 'محمد باى خير الديسن', TOC reads 'محمد باي خير الدين'",The followers,The thinker and the mystic
