person_id,name_ar,name_fr,name_ijmes,gloss_tier,gloss_mode,name_translit,is_subject,name_kind,entry_uid,cohort,cohort_en,birth_year,death_year,role_descriptor_ar,role_descriptor_en,rank,n_assertions,n_ties,first_seen_entry
PERSON_ABYHAJB_LY,علي بو حاجب,Ali Bou Hajeb,Ali Bu Hajib,verified,transliterated,LY ABYHAJB,yes,named,aalam:3.06,المعاصرون,The contemporaries,1888,1965,الصحافى والباحث والمناضل,"The journalist, the scholar and the militant",,0,0,aalam:3.06
PERSON_ABYHAJB_SALM,سالم بو حاجب,Salem Bou Hajeb,Salim Bu Hajib,verified,transliterated,SALM ABYHAJB,yes,named,aalam:2.06,التابعون,The followers,1827,1924,ْ للغوي والفيلسوف والمربي,"The linguist, the philosopher and the educator",,21,22,aalam:2.06
PERSON_ASRM_MHMD,محمد الأصرم,Mohamed El Asram,Muhammad al-Asram,verified,transliterated,MHMD ASRM,yes,named,aalam:2.07,التابعون,The followers,1858,1925,لقد كان المرحوم محمك الأصرم قوي البنية معتدل القامق ذا عيئين,"The late Muhammad al-Asram was of strong build, of middling height, with two eyes ...",,28,31,aalam:2.07
PERSON_BKWSH_BDSLAM,عبد السلام البكوش,Abdessalem Bakkouche,Abd al-Salam al-Bakkush,verified,transliterated,BDSLAM BKWSH,yes,named,aalam:2.12,التابعون,The followers,1871,1946,العالم اللغوي والشاعر,The linguist and the poet,,21,22,aalam:2.12
PERSON_BNASHWR_MHMD_FADL,محمد الفاضل بن عاشور,Mohamed Fadhel Ben Achour,Muhammad al-Fadil Ibn Ashur,verified,transliterated,MHMD FADL BNASHWR,yes,named,aalam:3.10,المعاصرون,The contemporaries,1909,1970,رجل من رجال عصر النهضة,A man of the Nahda,,16,17,aalam:3.10
PERSON_BNASHWR_MHMD_TAHR,محمد الطاهر بن عاشور,Mohamed Tahar Ben Achour,Muhammad al-Tahir Ibn Ashur,verified,transliterated,MHMD TAHR BNASHWR,yes,named,aalam:3.12,المعاصرون,The contemporaries,1879,1973,الرجل والقاضى والعلامة,"The man, the judge and the great scholar",,8,8,aalam:3.12
PERSON_BNHSYN_AHMD,أحمد بن حسين,Ahmed Ben Hussein,Ahmad Ibn Husayn,verified,transliterated,AHMD BNHSYN,yes,named,aalam:1.04,السابقون,The predecessors,1800,1868,العالم والفقيه والمربي,"The scholar, the jurist and the educator",,11,12,aalam:1.04
PERSON_BNKHWJH_MHMD,محمد بن الخوجة,Mohamed Ben Khoja,Muhammad Ibn al-Khuja,verified,transliterated,MHMD BNKHWJH,yes,named,aalam:2.10,التابعون,The followers,1869,1942,لقد حجرت العادة فى الامبراطورية العثمانية كما فى غيرها من الدول,"Custom in the Ottoman Empire, as in other states, had it that ...",,27,29,aalam:2.10
PERSON_BNMSTFY_KHYRALLH,خير الله بن مصطفى,Kheirallah Ben Mustapha,Khayr Allah Ibn Mustafa,verified,transliterated,KHYRALLH BNMSTFY,yes,named,aalam:3.05,المعاصرون,The contemporaries,1867,1965,مما لا شك فيه أن خير الله بن مصطفى أجنبيٌ الأصل. فقد ولد جدّه,There is no doubt that Khayr Allah Ibn Mustafa was of foreign origin. His grandfather was born ...,,18,19,aalam:3.05
PERSON_BNMSTFY_RSHYD,رشيد بن مصطفى,Rachid Ben Mustapha,Rashid Ibn Mustafa,verified,transliterated,RSHYD BNMSTFY,yes,named,aalam:2.14,التابعون,The followers,1876,1947,المهندس والمربي والباحث الموسيقي,"The engineer, the educator and the scholar of music",,12,14,aalam:2.14
PERSON_BWRQYBH_MHMD,محمد بورقيبة,Mohamed Bourguiba,Muhammad Burquiba,verified,transliterated,MHMD BWRQYBH,yes,named,aalam:3.02,المعاصرون,The contemporaries,1882,1956,الصحافي ورجل السياسة,The journalist and the politician,,14,14,aalam:3.02
PERSON_BWSHWSHH_LY,علي بوشوشة,Ali Bouchoucha,Ali Bushusha,verified,transliterated,LY BWSHWSHH,yes,named,aalam:2.03,التابعون,The followers,1859,1917,الصحافي والمزارع,The journalist and the farmer,,11,14,aalam:2.03
PERSON_DYAF_AHMD_BNABY,أحمد بن أبي الضياف,Ahmed Ibn Abi Dhiaf,Ahmad Ibn Abi al-Diyaf,verified,transliterated,AHMD BNABY DYAF,yes,named,aalam:1.06,السابقون,The predecessors,1804,1874,الحقوقي والمؤرخ ورجل الدولة,"The jurist, the historian and the statesman",,13,13,aalam:1.06
